qubix_sku,meridian_article,match_confidence,matched_on
QX-CER-872,AV-91577,0.86,2024-09-03
QX-PRO-873,AV-91584,0.91,2026-01-25
QX-BAK-874,AV-91591,0.75,2025-10-02
QX-TIN-875,AV-91598,0.87,2025-10-24
QX-PRO-876,AV-91605,0.95,2025-01-13
QX-HBC-877,AV-91612,0.64,2024-12-29
QX-HHD-878,AV-91619,0.81,2025-06-01
QX-BWS-879,AV-91626,0.75,2024-06-27
QX-DRY-880,AV-91633,0.83,2025-08-01
QX-PRO-881,AV-91640,0.92,2024-06-27
QX-DRY-883,AV-91647,0.90,2025-08-01
QX-TIN-884,AV-91654,0.86,2025-08-19
QX-PET-885,AV-91661,0.86,2025-10-01
QX-CHL-887,AV-91668,0.75,2025-05-15
QX-CHL-888,AV-91675,0.63,2025-07-24
QX-CER-889,AV-91682,0.98,2024-11-17
QX-HHD-890,AV-91689,0.82,2024-10-09
QX-DRK-891,AV-91696,0.64,2025-06-16
QX-HHD-892,AV-91703,0.88,2025-01-26
QX-DRY-893,AV-91710,0.83,2025-01-10
QX-BWS-894,AV-91717,0.72,2025-11-26
QX-PRO-895,AV-91724,0.94,2025-05-18
QX-PRO-896,AV-91731,0.71,2026-01-18
QX-CHL-897,AV-91738,0.66,2024-10-29
QX-BWS-900,AV-91745,0.74,2026-01-20
QX-CER-901,AV-91752,0.65,2024-07-18
QX-HBC-902,AV-91759,0.73,2024-11-14
QX-FRZ-904,AV-91766,0.83,2025-12-11
QX-DRK-905,AV-91773,0.84,2025-07-06
QX-CHL-906,AV-91780,0.73,2024-10-10
QX-FRZ-907,AV-91787,0.69,2025-01-01
QX-PET-908,AV-91794,0.79,2024-08-31
QX-HHD-909,AV-91801,0.67,2024-06-30
QX-DRY-910,AV-91808,0.93,2024-08-23
QX-HBC-911,AV-91815,0.93,2024-06-27
QX-BAK-912,AV-91822,0.74,2026-02-01
QX-DRY-913,AV-91829,0.79,2024-08-16
QX-TIN-914,AV-91836,0.71,2025-08-03
QX-FRZ-916,AV-91843,0.76,2025-10-10
QX-PRO-917,AV-91850,0.73,2025-08-05
QX-BAK-919,AV-91857,0.79,2024-06-03
QX-HBC-920,AV-91864,0.98,2024-12-09
QX-DRY-921,AV-91871,0.85,2024-05-29
QX-DRY-922,AV-91878,0.96,2025-07-11
QX-BAK-923,AV-91885,0.98,2025-10-30
QX-CHL-924,AV-91892,0.92,2025-06-21
QX-BAK-925,AV-91899,0.74,2025-09-30
QX-HBC-926,AV-91906,0.66,2024-12-05
QX-TIN-927,AV-91913,0.82,2025-08-25
QX-DRY-929,AV-91906,0.95,2024-05-19
QX-DRK-930,AV-91920,0.91,2025-04-19
QX-FRZ-931,AV-91927,0.86,2024-12-01
QX-PRO-934,AV-91934,0.62,2025-04-23
QX-CER-936,AV-91941,0.89,2024-07-28
QX-FRZ-938,AV-91948,0.70,2025-07-31
QX-BAK-939,AV-91955,0.97,2025-05-09
QX-BWS-940,AV-91962,0.66,2025-01-16
QX-BAK-941,AV-91969,0.89,2025-11-06
QX-TIN-944,AV-91976,0.79,2025-07-20
QX-BWS-945,AV-91983,0.93,2025-11-30
QX-BAK-947,AV-91990,0.99,2025-06-01
QX-BAK-948,AV-91997,0.80,2024-09-02
QX-PRO-950,AV-92004,0.86,2025-07-28
QX-TIN-951,AV-92011,0.81,2025-05-17
QX-CHL-952,AV-92018,0.96,2026-01-16
QX-CER-954,AV-92025,0.72,2025-06-07
QX-TIN-955,AV-92032,0.76,2026-01-29
QX-TIN-957,AV-92039,0.67,2025-01-16
QX-DRK-958,AV-92046,0.80,2025-06-02
QX-HBC-959,AV-92053,0.79,2025-03-14
QX-CER-960,AV-92060,0.66,2024-10-09
QX-TIN-961,AV-92067,0.96,2025-07-03
QX-BWS-962,AV-92074,0.95,2025-09-03
QX-CHL-963,AV-92081,0.92,2024-12-07
QX-BAK-964,AV-92088,0.62,2025-01-09
QX-BAK-965,AV-92095,0.70,2025-12-21
QX-CHL-966,AV-92102,0.84,2024-12-13
QX-PET-967,AV-92109,0.72,2024-12-25
QX-FRZ-968,AV-92116,0.63,2025-02-16
QX-PET-969,AV-92123,0.91,2024-09-11
QX-BAK-970,AV-92130,0.84,2024-05-24
QX-CHL-971,AV-92137,0.77,2025-11-29
QX-DRY-972,AV-92144,0.63,2025-03-19
QX-PET-974,AV-92151,0.91,2025-08-30
QX-BAK-975,AV-92158,0.87,2025-04-30
QX-HBC-976,AV-92165,0.67,2025-02-04
QX-PET-977,AV-92172,0.85,2024-07-03
QX-HBC-978,AV-92179,0.94,2024-11-30
QX-TIN-979,AV-92186,0.92,2024-09-20
QX-TIN-980,AV-92193,0.67,2025-05-18
QX-HBC-981,AV-92200,0.66,2024-09-22
QX-PET-983,AV-92207,0.87,2025-03-02
QX-FRZ-984,AV-92214,0.62,2025-12-31
QX-HHD-985,AV-92221,0.89,2025-06-09
QX-CHL-986,AV-92228,0.95,2025-08-23
QX-BWS-987,AV-92235,0.63,2024-08-29
QX-CER-988,AV-92242,0.78,2024-07-20
QX-FRZ-990,AV-92249,0.92,2025-03-05
QX-HHD-993,AV-92256,0.65,2024-12-11
QX-TIN-994,AV-92263,0.81,2025-07-24
QX-BAK-996,AV-92270,0.70,2024-08-07
QX-CER-997,AV-92277,0.96,2024-06-21
QX-CHL-998,AV-92284,0.68,2025-02-16
QX-DRK-000,AV-92291,0.75,2025-04-29
QX-HHD-001,AV-92298,0.96,2025-08-16
QX-TIN-002,AV-92305,0.87,2024-07-30
QX-HBC-003,AV-92312,0.66,2025-09-22
QX-CHL-004,AV-92319,0.98,2025-09-04
QX-DRK-005,AV-92326,0.73,2025-02-08
QX-HHD-006,AV-92333,0.95,2024-12-04
QX-TIN-007,AV-92340,0.86,2025-01-03
QX-HBC-009,AV-92347,0.76,2024-11-28
QX-PET-010,AV-92354,0.94,2025-04-03
QX-FRZ-011,AV-92361,0.96,2024-08-27
QX-DRY-012,AV-92368,0.92,2025-04-13
QX-CHL-013,AV-92375,0.90,2025-05-18
QX-FRZ-014,AV-92382,0.97,2025-01-26
QX-BAK-015,AV-92389,0.68,2024-08-05
QX-DRY-016,AV-92396,0.85,2025-10-14
QX-DRY-017,AV-92403,0.82,2025-10-07
QX-DRY-019,AV-92410,0.87,2025-03-25
QX-DRK-020,AV-92417,0.97,2025-11-08
QX-BWS-022,AV-92410,0.77,2025-05-24
QX-CHL-023,AV-92424,0.65,2024-12-21
QX-FRZ-024,AV-92431,0.77,2024-10-19
QX-CHL-025,AV-92438,0.84,2024-11-11
QX-DRY-026,AV-92445,0.62,2024-07-27
QX-CER-027,AV-92452,0.89,2025-12-25
QX-DRK-028,AV-92459,0.67,2024-05-08
QX-TIN-029,AV-92466,0.89,2026-01-13
QX-FRZ-030,AV-92473,0.87,2024-07-25
QX-PET-031,AV-92480,0.92,2024-09-16
QX-DRK-033,AV-92487,0.83,2024-06-27
QX-FRZ-034,AV-92494,0.84,2025-02-22
QX-PRO-035,AV-92501,0.97,2024-09-26
QX-HHD-036,AV-92508,0.77,2026-01-22
QX-PET-037,AV-92515,0.66,2025-08-04
QX-PRO-038,AV-92522,0.81,2024-10-23
QX-HBC-039,AV-92529,0.92,2025-03-05
QX-TIN-040,AV-92522,0.79,2025-05-12
QX-CER-041,AV-92536,0.96,2025-12-05
QX-CHL-042,AV-92543,0.73,2024-10-22
QX-DRY-044,AV-92550,0.86,2025-02-27
QX-PRO-045,AV-92557,0.92,2024-05-29
QX-CER-046,AV-92564,0.78,2025-03-18
QX-CHL-048,AV-92571,0.68,2024-06-21
QX-DRY-049,AV-92578,0.99,2025-07-04
QX-FRZ-050,AV-92571,0.74,2025-01-26
QX-TIN-051,AV-92585,0.63,2024-11-11
QX-DRY-052,AV-92592,0.76,2025-08-02
QX-DRY-053,AV-92599,0.64,2025-05-09
QX-TIN-054,AV-92606,0.80,2024-07-12
QX-CHL-057,AV-92613,0.66,2026-02-24
QX-PET-058,AV-92620,0.74,2025-02-18
QX-DRK-059,AV-92613,0.91,2026-01-30
QX-HBC-060,AV-92627,0.84,2025-11-12
QX-HBC-061,AV-92634,0.62,2025-06-28
QX-DRY-062,AV-92641,0.76,2025-11-25
QX-HBC-063,AV-92648,0.90,2025-01-10
QX-CER-064,AV-92655,0.74,2025-03-04
QX-PRO-066,AV-92662,0.70,2024-11-19
QX-CHL-067,AV-92669,0.77,2025-03-31
QX-BWS-068,AV-92676,0.63,2025-04-18
QX-HHD-069,AV-92683,0.82,2025-09-29
QX-PET-071,AV-92690,0.64,2026-01-06
QX-TIN-073,AV-92697,0.95,2025-12-17
QX-BWS-076,AV-92704,0.92,2024-12-26
QX-TIN-077,AV-92711,0.68,2024-10-07
QX-CHL-078,AV-92718,0.69,2024-05-29
QX-FRZ-079,AV-92725,0.98,2025-11-07
QX-TIN-080,AV-92732,0.97,2024-07-25
QX-TIN-081,AV-92739,0.81,2024-07-28
QX-HBC-082,AV-92746,0.82,2024-10-12
QX-BAK-084,AV-92753,0.84,2025-03-02
QX-DRY-085,AV-92760,0.95,2025-04-17
QX-DRY-087,AV-92767,0.91,2025-02-18
QX-PRO-088,AV-92774,0.97,2025-06-07
QX-DRY-090,AV-92767,1.00,2024-08-05
QX-CER-091,AV-92781,0.63,2024-06-03
QX-BWS-092,AV-92788,0.95,2024-11-06
QX-TIN-093,AV-92795,0.76,2025-07-12
QX-BAK-095,AV-92788,1.00,2026-02-04
QX-FRZ-096,AV-92802,0.94,2024-06-25
QX-DRK-098,AV-92809,0.71,2026-01-26
QX-HBC-099,AV-92816,0.76,2024-10-04
QX-PET-100,AV-92823,0.71,2025-10-22
QX-CER-103,AV-92830,0.99,2024-11-11
QX-PRO-104,AV-92837,0.65,2026-01-23
QX-HBC-105,AV-92844,0.76,2024-08-09
QX-HBC-106,AV-92837,0.64,2024-12-10
QX-CHL-107,AV-92851,0.95,2025-04-28
QX-TIN-108,AV-92858,0.71,2025-07-14
QX-BAK-109,AV-92865,0.71,2025-06-16
QX-PET-110,AV-92872,0.96,2025-11-16
QX-CHL-112,AV-92879,0.98,2024-05-24
QX-HHD-113,AV-92886,0.81,2025-08-25
QX-HHD-115,AV-92893,0.91,2024-05-07
QX-CHL-116,AV-92900,0.88,2024-11-16
QX-HBC-117,AV-92907,0.88,2025-07-15
QX-TIN-118,AV-92914,0.63,2024-11-18
QX-BWS-120,AV-92921,0.75,2025-08-22
QX-TIN-121,AV-92928,0.70,2025-04-10
QX-CHL-122,AV-92935,0.72,2025-01-12
QX-CHL-123,AV-92942,0.96,2025-05-02
QX-DRK-126,AV-92949,0.78,2024-11-22
QX-HBC-127,AV-92956,0.93,2025-09-14
QX-DRY-128,AV-92963,0.63,2025-10-30
QX-HHD-129,AV-92970,0.65,2025-08-06
QX-BAK-130,AV-92963,0.88,2025-09-09
QX-PRO-131,AV-92977,0.62,2025-08-16
QX-DRK-134,AV-92984,0.97,2025-01-22
QX-HHD-136,AV-92991,0.89,2025-05-07
QX-HHD-137,AV-92998,0.76,2025-07-28
QX-BAK-140,AV-93005,0.82,2024-10-10
QX-PRO-143,AV-93012,0.93,2025-05-12
QX-DRY-144,AV-93019,0.76,2025-04-08
QX-FRZ-146,AV-93026,0.92,2025-05-02
QX-BWS-147,AV-93019,0.95,2025-10-14
QX-TIN-148,AV-93033,1.00,2024-06-09
QX-PRO-149,AV-93040,0.93,2024-09-23
QX-CER-150,AV-93047,0.83,2024-06-22
QX-CER-151,AV-93054,0.97,2025-04-18
QX-DRY-152,AV-93061,0.74,2024-12-15
QX-DRK-153,AV-93068,0.97,2025-02-21
QX-DRY-154,AV-93075,0.69,2024-11-05
QX-TIN-155,AV-93082,0.82,2026-01-03
QX-PRO-156,AV-93089,0.74,2025-12-11
QX-HHD-158,AV-93096,0.72,2026-01-19
QX-PRO-159,AV-93089,0.67,2024-05-14
QX-BAK-160,AV-93103,0.76,2026-02-19
QX-PRO-161,AV-93110,0.83,2025-04-25
QX-BAK-162,AV-93117,0.76,2025-11-01
QX-TIN-163,AV-93124,0.94,2025-03-30
QX-BWS-164,AV-93131,0.88,2024-05-04
QX-HHD-165,AV-93138,0.78,2024-12-06
QX-HBC-167,AV-93131,0.82,2026-02-27
QX-DRK-168,AV-93145,0.82,2025-07-18
QX-BAK-169,AV-93152,0.85,2024-07-16
QX-HBC-172,AV-93159,0.63,2024-11-05
QX-BAK-173,AV-93166,0.82,2025-07-05
QX-HBC-174,AV-93173,0.85,2025-11-28
QX-TIN-177,AV-93180,0.79,2024-08-16
QX-HHD-178,AV-93187,0.73,2026-01-02
QX-DRY-179,AV-93194,0.99,2026-01-15
QX-PRO-180,AV-93201,0.83,2025-07-19
QX-BWS-181,AV-93208,0.83,2025-10-29
QX-PRO-182,AV-93215,0.83,2025-01-16
QX-HHD-183,AV-93222,0.65,2025-03-20
QX-PRO-184,AV-93229,0.78,2025-08-30
QX-HBC-185,AV-93236,0.63,2024-11-16
QX-PET-186,AV-93243,0.63,2024-11-20
QX-BAK-187,AV-93250,0.73,2025-12-18
QX-PET-188,AV-93257,0.75,2025-12-20
QX-DRY-189,AV-93264,0.91,2025-02-21
QX-CER-190,AV-93271,0.80,2024-11-05
QX-PRO-191,AV-93278,0.80,2025-11-01
QX-DRK-192,AV-93271,0.94,2025-09-22
QX-TIN-193,AV-93285,0.81,2024-06-09
QX-FRZ-194,AV-93292,0.73,2025-10-25
QX-HHD-195,AV-93299,0.73,2025-07-23
QX-PET-197,AV-93306,0.69,2024-12-23
QX-DRY-198,AV-93313,0.66,2024-11-04
QX-TIN-199,AV-93320,0.85,2025-04-04
QX-PET-200,AV-93327,0.99,2024-12-24
QX-CER-201,AV-93334,0.69,2025-08-24
QX-DRK-202,AV-93341,0.98,2025-05-07
QX-PRO-204,AV-93348,0.71,2025-12-21
QX-PRO-205,AV-93355,0.98,2025-04-28
QX-HBC-206,AV-93362,0.92,2025-01-05
QX-FRZ-208,AV-93369,0.92,2024-10-11
QX-HHD-209,AV-93376,0.88,2025-06-12
QX-BWS-210,AV-93383,0.84,2025-11-25
QX-PET-211,AV-93390,0.63,2024-07-21
QX-HHD-212,AV-93397,0.91,2026-02-24
QX-TIN-213,AV-93404,0.93,2024-07-05
QX-DRY-215,AV-93411,0.66,2024-12-01
QX-DRK-217,AV-93418,0.74,2025-04-20
QX-BWS-218,AV-93425,0.88,2025-08-22
QX-BAK-221,AV-93432,0.73,2026-01-27
QX-TIN-222,AV-93439,0.88,2025-10-03
QX-CER-223,AV-93446,0.73,2025-06-28
QX-BWS-224,AV-93453,0.99,2025-10-22
QX-PRO-226,AV-93460,0.77,2024-08-10
QX-PRO-227,AV-93467,0.68,2025-08-01
QX-PET-228,AV-93474,0.92,2025-06-03
QX-TIN-230,AV-93481,0.80,2025-07-12
QX-TIN-231,AV-93488,0.68,2026-02-10
QX-BWS-233,AV-93495,0.98,2026-01-29
QX-DRY-234,AV-93502,0.76,2026-01-16
QX-CER-235,AV-93509,0.92,2024-07-05
QX-CER-236,AV-93516,0.99,2025-04-05
QX-FRZ-237,AV-93523,0.96,2025-12-22
QX-PRO-238,AV-93530,0.71,2025-11-01
QX-BAK-239,AV-93537,0.78,2025-01-03
QX-HHD-240,AV-93544,1.00,2025-04-23
QX-PRO-241,AV-93551,0.65,2025-12-16
QX-DRK-242,AV-93558,0.80,2025-12-07
QX-BAK-243,AV-93565,0.65,2025-01-09
QX-DRY-244,AV-93572,0.99,2025-05-03
QX-HHD-245,AV-93579,0.91,2025-05-20
QX-PRO-246,AV-93586,0.67,2026-01-08
QX-BAK-250,AV-93593,0.66,2025-06-08
QX-DRY-251,AV-93586,0.64,2025-02-25
QX-BWS-252,AV-93600,0.99,2025-10-05
QX-CHL-254,AV-93607,0.89,2025-06-12
QX-PET-255,AV-93614,0.85,2025-06-02
QX-HHD-256,AV-93621,0.69,2025-01-29
QX-BAK-257,AV-93628,0.94,2025-04-21
QX-CER-258,AV-93635,0.72,2025-08-06
QX-HBC-259,AV-93642,0.89,2024-06-26
QX-BAK-262,AV-93649,0.80,2025-09-09
QX-FRZ-263,AV-93656,0.84,2024-11-25
QX-CER-265,AV-93663,0.82,2026-01-08
QX-DRY-266,AV-93670,0.64,2025-08-17
QX-TIN-267,AV-93677,0.93,2024-09-19
QX-HHD-268,AV-93684,0.98,2024-08-19
QX-CHL-269,AV-93691,0.77,2025-10-16
QX-PET-271,AV-93698,0.90,2024-05-06
QX-TIN-272,AV-93705,0.62,2026-02-01
QX-CHL-274,AV-93712,0.80,2024-07-29
QX-PET-275,AV-93719,0.66,2025-07-30
QX-TIN-276,AV-93726,0.73,2024-09-06
QX-HBC-279,AV-93733,0.85,2025-12-10
QX-BWS-280,AV-93740,0.79,2025-02-18
QX-DRK-282,AV-93747,0.69,2025-03-03
QX-BWS-283,AV-93754,0.96,2025-11-15
QX-DRY-284,AV-93761,0.97,2025-08-16
QX-PET-286,AV-93768,0.79,2025-12-02
QX-BAK-288,AV-93775,0.77,2025-07-22
QX-TIN-289,AV-93782,1.00,2025-08-13
QX-TIN-291,AV-93789,0.65,2024-10-09
QX-HBC-292,AV-93796,0.78,2025-12-07
QX-DRK-293,AV-93803,0.86,2025-07-19
QX-HHD-294,AV-93810,0.70,2024-12-30
QX-TIN-296,AV-93817,0.64,2025-04-20
QX-BWS-298,AV-93824,0.82,2025-01-05
QX-TIN-299,AV-93831,0.83,2025-10-01
QX-HBC-300,AV-93838,0.66,2024-07-24
QX-DRK-302,AV-93845,0.80,2025-08-23
QX-PRO-303,AV-93852,0.89,2024-06-08
QX-CER-304,AV-93859,0.69,2024-06-22
QX-CER-305,AV-93866,0.64,2025-01-11
QX-BWS-307,AV-93873,0.72,2024-12-31
QX-BWS-308,AV-93880,0.72,2025-05-15
QX-CER-309,AV-93887,0.70,2025-07-06
QX-TIN-311,AV-93894,0.68,2024-10-31
QX-TIN-312,AV-93901,0.64,2024-10-09
QX-DRY-314,AV-93908,0.79,2025-12-26
QX-CHL-315,AV-93915,0.64,2024-05-22
QX-BWS-316,AV-93922,0.94,2024-09-30
QX-PET-317,AV-93929,0.78,2024-07-26
QX-CER-320,AV-93936,0.96,2025-06-28
QX-PRO-321,AV-93943,0.68,2024-12-17
QX-TIN-322,AV-93950,0.76,2026-02-24
QX-BWS-323,AV-93957,0.77,2024-09-30
QX-HBC-324,AV-93964,0.90,2024-05-16
QX-BWS-326,AV-93971,0.76,2024-08-28
QX-HBC-327,AV-93978,0.90,2025-12-09
QX-TIN-328,AV-93985,0.86,2025-10-15
QX-HHD-330,AV-93992,0.69,2025-07-27
QX-CHL-332,AV-93999,0.64,2025-11-27
QX-CER-333,AV-94006,0.67,2025-06-20
QX-CHL-334,AV-94013,0.83,2026-02-12
QX-FRZ-336,AV-94006,0.81,2025-03-19
QX-BAK-337,AV-94006,0.81,2025-12-01
QX-FRZ-338,AV-94020,0.85,2026-01-26
QX-CHL-339,AV-94027,0.80,2024-07-08
QX-TIN-340,AV-94034,0.77,2025-11-23
QX-DRK-342,AV-94027,0.83,2025-12-12
QX-TIN-343,AV-94041,0.67,2024-06-14
QX-FRZ-344,AV-94034,0.64,2025-12-13
QX-CHL-345,AV-94048,0.79,2025-09-23
QX-FRZ-346,AV-94055,0.98,2025-08-01
QX-DRK-348,AV-94062,0.77,2024-05-29
QX-CER-349,AV-94069,0.70,2024-07-21
QX-DRY-350,AV-94076,0.77,2024-09-17
QX-BAK-351,AV-94083,0.85,2024-11-15
QX-CER-352,AV-94090,0.66,2025-10-30
QX-HHD-353,AV-94097,0.76,2024-10-08
QX-TIN-354,AV-94104,0.75,2025-07-02
QX-HBC-355,AV-94111,0.94,2025-06-04
QX-TIN-356,AV-94118,0.91,2024-07-04
QX-PET-357,AV-94125,0.89,2025-05-28
QX-CER-358,AV-94132,0.74,2025-07-29
QX-DRY-359,AV-94125,0.63,2024-12-16
QX-HHD-360,AV-94139,0.72,2025-12-06
QX-DRK-361,AV-94146,0.92,2026-01-27
QX-DRK-362,AV-94153,0.80,2025-08-09
QX-TIN-363,AV-94160,0.69,2025-12-16
QX-CER-364,AV-94167,0.74,2025-03-04
QX-TIN-365,AV-94174,0.91,2024-09-27
QX-HBC-366,AV-94181,0.63,2025-12-11
QX-CHL-367,AV-94188,0.76,2025-06-16
QX-PRO-368,AV-94195,0.96,2026-02-27
QX-DRK-369,AV-94202,0.74,2025-07-05
QX-BAK-371,AV-94209,0.74,2025-10-13
QX-CHL-373,AV-94216,0.68,2025-07-08
QX-BAK-374,AV-94223,0.75,2024-09-09
QX-BWS-375,AV-94216,0.95,2025-04-16
QX-DRK-378,AV-94230,0.85,2024-10-26
QX-DRK-379,AV-94237,0.91,2026-01-13
QX-TIN-381,AV-94244,0.86,2024-10-26
QX-PET-382,AV-94251,0.90,2025-12-14
QX-TIN-383,AV-94258,0.90,2024-07-02
QX-BAK-384,AV-94265,0.89,2025-12-06
QX-BAK-387,AV-94272,0.81,2024-09-09
QX-CER-388,AV-94279,0.79,2025-03-29
QX-CER-389,AV-94286,0.80,2025-06-22
QX-CER-390,AV-94293,0.63,2025-08-29
QX-HBC-393,AV-94300,0.81,2025-08-31
QX-CER-394,AV-94307,0.64,2025-03-08
QX-BAK-395,AV-94314,0.86,2026-01-24
QX-FRZ-396,AV-94321,0.97,2025-02-15
QX-PET-398,AV-94328,0.93,2025-09-07
QX-BAK-400,AV-94335,0.69,2025-08-12
QX-HBC-401,AV-94342,0.71,2026-02-11
QX-DRY-403,AV-94349,0.73,2025-10-21
QX-PET-404,AV-94356,0.66,2025-06-14
QX-DRY-406,AV-94363,0.65,2024-09-04
QX-BWS-412,AV-94370,0.81,2024-11-02
QX-FRZ-413,AV-94377,0.71,2024-10-15
QX-FRZ-414,AV-94384,0.71,2025-05-25
QX-FRZ-415,AV-94391,0.89,2024-08-12
QX-PET-416,AV-94398,0.66,2024-12-28
QX-PET-417,AV-94405,0.98,2025-12-02
QX-HHD-418,AV-94412,0.99,2025-07-03
QX-DRK-420,AV-94419,0.91,2025-08-19
QX-FRZ-421,AV-94426,0.62,2025-01-13
QX-HHD-423,AV-94433,0.95,2024-07-17
QX-CHL-425,AV-94440,0.98,2025-06-19
QX-BAK-426,AV-94447,0.69,2025-02-22
QX-DRK-427,AV-94454,0.96,2024-08-31
QX-CER-429,AV-94461,0.75,2025-02-24
QX-FRZ-431,AV-94468,0.86,2024-08-08
QX-CHL-432,AV-94475,0.79,2025-11-28
QX-PET-433,AV-94482,0.73,2025-04-06
QX-CER-434,AV-94489,0.88,2024-06-26
QX-PRO-435,AV-94482,0.65,2025-06-22
QX-PRO-436,AV-94496,0.90,2024-11-19
QX-CHL-438,AV-94503,0.95,2024-09-18
QX-BWS-439,AV-94510,0.86,2025-01-20
QX-HBC-442,AV-94517,0.83,2025-05-09
QX-HHD-443,AV-94524,0.92,2025-11-02
QX-HHD-445,AV-94531,0.68,2025-09-14
QX-TIN-447,AV-94538,0.89,2025-04-13
QX-PET-448,AV-94545,0.93,2024-05-16
QX-HHD-450,AV-94552,0.71,2024-06-03
QX-DRK-453,AV-94559,0.72,2024-05-16
QX-PRO-454,AV-94566,0.68,2024-12-17
QX-TIN-456,AV-94573,0.85,2024-10-11
QX-HBC-457,AV-94580,0.92,2024-11-30
QX-CER-458,AV-94587,0.78,2025-01-18
QX-CHL-459,AV-94594,0.74,2026-01-05
QX-PET-461,AV-94601,0.87,2024-08-29
QX-BAK-462,AV-94608,0.84,2025-09-02
QX-TIN-463,AV-94615,0.81,2024-09-19
QX-BAK-464,AV-94622,0.97,2026-02-23
QX-HBC-465,AV-94629,0.70,2025-05-06
QX-TIN-468,AV-94636,0.80,2025-07-02
QX-BWS-470,AV-94643,0.94,2025-10-06
QX-PET-471,AV-94650,0.97,2025-05-31
QX-DRY-472,AV-94657,0.99,2025-12-10
QX-CER-473,AV-94664,0.87,2024-09-19
QX-HBC-475,AV-94671,0.99,2024-07-10
QX-PRO-477,AV-94664,0.72,2024-09-06
QX-FRZ-478,AV-94678,0.77,2024-12-12
QX-PET-479,AV-94685,0.94,2026-01-28
QX-TIN-481,AV-94692,0.96,2025-10-25
QX-HBC-482,AV-94699,0.78,2025-11-14
QX-DRY-483,AV-94706,0.67,2024-10-06
QX-TIN-484,AV-94713,0.67,2026-02-15
QX-CER-486,AV-94720,0.65,2025-05-09
QX-BAK-487,AV-94727,0.63,2025-12-10
QX-PRO-488,AV-94734,0.85,2025-11-19
QX-DRK-489,AV-94741,0.91,2024-11-03
QX-BWS-490,AV-94748,0.75,2024-09-10
QX-CHL-493,AV-94755,0.83,2025-10-01
QX-HHD-496,AV-94762,0.74,2025-08-07
QX-PET-497,AV-94769,0.78,2025-09-10
QX-BWS-498,AV-94776,1.00,2024-06-06
QX-BAK-499,AV-94783,0.76,2025-02-17
QX-FRZ-500,AV-94790,0.69,2024-07-24
QX-BAK-501,AV-94797,0.72,2025-04-24
QX-CER-504,AV-94804,0.68,2025-11-18
QX-CER-505,AV-94811,0.98,2025-06-11
QX-BAK-506,AV-94818,0.88,2025-06-22
QX-CER-507,AV-94825,0.85,2025-08-04
QX-BAK-509,AV-94832,0.79,2024-07-23
QX-CER-510,AV-94839,0.89,2025-04-16
QX-DRK-511,AV-94846,0.92,2025-07-12
QX-HHD-512,AV-94853,0.90,2025-05-26
QX-CER-513,AV-94860,0.94,2025-12-19
QX-HHD-514,AV-94867,0.93,2024-12-16
QX-HHD-515,AV-94860,0.95,2026-01-03
QX-DRY-522,AV-94874,0.99,2025-06-20
QX-PRO-523,AV-94881,0.64,2025-07-10
QX-PRO-524,AV-94888,0.64,2024-09-05
QX-FRZ-525,AV-94895,0.81,2025-12-19
QX-CHL-527,AV-94902,0.67,2025-09-26
QX-DRK-528,AV-94909,0.91,2026-01-01
QX-CER-529,AV-94916,0.72,2025-04-14
QX-CHL-530,AV-94923,0.95,2026-02-14
QX-CER-531,AV-94930,0.96,2024-07-21
QX-HBC-532,AV-94923,0.89,2025-01-29
QX-PET-533,AV-94937,0.88,2024-06-04
QX-TIN-534,AV-94930,0.71,2025-05-02
QX-FRZ-535,AV-94944,0.66,2025-08-31
QX-PET-537,AV-94951,0.95,2026-01-21
QX-BAK-538,AV-94958,0.94,2025-04-27
QX-HBC-539,AV-94965,0.78,2025-05-08
QX-PRO-540,AV-94972,0.74,2025-04-24
QX-CHL-542,AV-94979,0.68,2025-02-04
QX-PRO-543,AV-94986,0.80,2026-02-16
QX-HBC-545,AV-94993,0.93,2024-11-15
QX-FRZ-547,AV-95000,0.97,2026-03-02
QX-TIN-548,AV-94993,0.97,2024-06-02
QX-CHL-550,AV-95007,0.93,2025-11-04
QX-HHD-551,AV-95014,0.64,2024-07-17
QX-TIN-552,AV-95021,0.69,2024-10-15
QX-FRZ-553,AV-95028,0.69,2024-10-31
QX-HHD-554,AV-95035,0.97,2024-05-12
QX-DRY-555,AV-95042,0.85,2024-05-08
QX-TIN-557,AV-95049,0.63,2024-06-06
QX-CER-558,AV-95056,0.92,2024-10-13
QX-PET-559,AV-95049,0.95,2025-09-07
QX-DRK-560,AV-95063,0.80,2024-05-31
QX-PRO-562,AV-95070,0.92,2024-08-10
QX-HHD-563,AV-95077,0.87,2024-10-29
QX-BAK-564,AV-95084,0.86,2025-04-04
QX-BAK-565,AV-95091,0.64,2024-11-20
QX-FRZ-566,AV-95098,0.85,2025-01-04
QX-HHD-568,AV-95105,0.90,2026-02-09
QX-BAK-569,AV-95112,0.95,2025-01-17
QX-PET-573,AV-95119,0.93,2024-10-30
QX-TIN-574,AV-95126,0.70,2024-07-18
QX-PET-575,AV-95133,0.89,2025-07-09
QX-HBC-576,AV-95140,0.62,2025-07-18
QX-DRY-577,AV-95147,0.64,2025-04-03
QX-PRO-580,AV-95154,0.88,2025-11-14
