sku,valid_from,valid_to,price
QX-PET-703,2025-11-17,2025-11-17,7.14
QX-PET-703,2025-11-17,2025-11-17,7.39
QX-PET-703,2025-11-17,,7.38
QX-DRK-704,2024-02-10,2026-01-22,0.84
QX-DRK-704,2026-01-22,2026-01-22,0.90
QX-DRK-704,2026-01-22,,1.01
QX-DRK-705,2024-06-23,2026-03-12,4.34
QX-DRK-705,2026-03-12,2026-03-12,4.39
QX-DRK-705,2026-03-12,2026-03-22,4.68
QX-DRK-705,2026-03-22,2026-03-22,4.79
QX-DRK-705,2026-03-22,,5.25
QX-BAK-706,2024-11-09,2025-08-26,1.98
QX-BAK-706,2025-08-26,2026-01-14,2.03
QX-BAK-706,2026-01-14,2026-03-07,2.15
QX-BAK-706,2026-03-07,2026-03-07,2.20
QX-BAK-706,2026-03-07,,2.07
QX-HHD-707,2024-10-24,2025-08-19,9.38
QX-HHD-707,2025-08-19,2025-08-19,9.49
QX-HHD-707,2025-08-19,2026-01-31,10.06
QX-HHD-707,2026-01-31,2026-03-19,10.32
QX-HHD-707,2026-03-19,,9.83
QX-PET-708,2023-10-18,2025-07-01,8.69
QX-PET-708,2025-07-01,2026-01-12,9.23
QX-PET-708,2026-01-12,2026-01-12,9.72
QX-PET-708,2026-01-12,2026-01-12,9.88
QX-PET-708,2026-01-12,2026-01-12,10.75
QX-PET-708,2026-01-12,2026-01-12,11.28
QX-PET-708,2026-01-12,,9.21
QX-DRK-709,2025-05-01,2026-02-03,1.16
QX-DRK-709,2026-02-03,2026-02-03,1.19
QX-DRK-709,2026-02-03,2026-02-24,1.23
QX-DRK-709,2026-02-24,,1.30
QX-HHD-710,2024-10-21,2025-09-25,2.89
QX-HHD-710,2025-09-25,,3.09
QX-FRZ-711,2024-04-26,2026-03-09,4.43
QX-FRZ-711,2026-03-09,2026-03-09,4.66
QX-FRZ-711,2026-03-09,2026-03-09,4.89
QX-FRZ-711,2026-03-09,2026-03-09,5.00
QX-FRZ-711,2026-03-09,,4.64
QX-BWS-712,2025-03-03,2026-01-27,14.54
QX-BWS-712,2026-01-27,2026-01-27,15.45
QX-BWS-712,2026-01-27,,15.76
QX-DRK-713,2023-12-04,2025-12-17,3.31
QX-DRK-713,2025-12-17,2025-12-17,3.57
QX-DRK-713,2025-12-17,2025-12-17,3.64
QX-DRK-713,2025-12-17,2026-02-20,3.91
QX-DRK-713,2026-02-20,,3.46
QX-PRO-714,2025-01-28,2026-02-13,2.46
QX-PRO-714,2026-02-13,2026-02-13,2.66
QX-PRO-714,2026-02-13,2026-02-13,2.71
QX-PRO-714,2026-02-13,2026-02-13,2.94
QX-PRO-714,2026-02-13,,2.59
QX-BAK-715,2024-02-23,2025-10-15,2.94
QX-BAK-715,2025-10-15,2025-11-11,3.20
QX-BAK-715,2025-11-11,2025-11-11,3.40
QX-BAK-715,2025-11-11,2025-11-11,3.45
QX-BAK-715,2025-11-11,,3.54
QX-CHL-716,2025-04-21,2025-11-13,14.88
QX-CHL-716,2025-11-13,2025-11-13,15.84
QX-CHL-716,2025-11-13,,18.14
QX-FRZ-717,2023-11-06,2025-08-25,5.26
QX-FRZ-717,2025-08-25,2025-08-25,5.46
QX-FRZ-717,2025-08-25,,5.99
QX-DRY-718,2024-12-10,2025-11-22,5.93
QX-DRY-718,2025-11-22,2025-12-30,6.17
QX-DRY-718,2025-12-30,2025-12-30,6.70
QX-DRY-718,2025-12-30,2025-12-30,6.85
QX-DRY-718,2025-12-30,,6.63
QX-BAK-719,2023-11-30,2026-01-30,2.05
QX-BAK-719,2026-01-30,2026-03-16,2.09
QX-BAK-719,2026-03-16,2026-03-16,2.22
QX-BAK-719,2026-03-16,2026-03-16,2.36
QX-BAK-719,2026-03-16,,2.35
QX-DRK-720,2024-03-23,2025-08-05,5.87
QX-DRK-720,2025-08-05,2025-11-08,6.08
QX-DRK-720,2025-11-08,2025-11-08,6.24
QX-DRK-720,2025-11-08,2026-02-25,6.59
QX-DRK-720,2026-02-25,,6.35
QX-BWS-721,2025-06-04,2025-12-10,23.04
QX-BWS-721,2025-12-10,2025-12-10,23.38
QX-BWS-721,2025-12-10,2025-12-10,24.48
QX-BWS-721,2025-12-10,2025-12-10,25.74
QX-BWS-721,2025-12-10,,25.48
QX-FRZ-722,2025-01-23,2025-08-09,3.98
QX-FRZ-722,2025-08-09,2025-11-14,4.26
QX-FRZ-722,2025-11-14,,4.39
QX-HBC-723,2025-03-20,2025-09-04,9.97
QX-HBC-723,2025-09-04,2025-09-04,10.43
QX-HBC-723,2025-09-04,2025-11-18,10.90
QX-HBC-723,2025-11-18,,11.49
QX-CHL-724,2025-01-02,2025-07-08,7.38
QX-CHL-724,2025-07-08,2025-11-17,7.96
QX-CHL-724,2025-11-17,2026-01-22,8.36
QX-CHL-724,2026-01-22,2026-01-22,8.72
QX-CHL-724,2026-01-22,,7.99
QX-HBC-725,2024-10-19,2025-09-05,12.29
QX-HBC-725,2025-09-05,2025-09-30,12.68
QX-HBC-725,2025-09-30,2025-10-31,13.37
QX-HBC-725,2025-10-31,2025-10-31,14.44
QX-HBC-725,2025-10-31,2026-03-08,14.98
QX-HBC-725,2026-03-08,,13.93
QX-PRO-726,2024-02-07,2026-01-09,0.83
QX-PRO-726,2026-01-09,2026-01-29,0.87
QX-PRO-726,2026-01-29,2026-01-29,0.89
QX-PRO-726,2026-01-29,2026-01-29,0.91
QX-PRO-726,2026-01-29,2026-01-29,0.94
QX-PRO-726,2026-01-29,2026-01-29,1.01
QX-PRO-726,2026-01-29,,0.94
QX-FRZ-727,2024-11-02,2026-03-08,6.72
QX-FRZ-727,2026-03-08,2026-03-08,7.25
QX-FRZ-727,2026-03-08,2026-03-08,7.88
QX-FRZ-727,2026-03-08,2026-03-08,8.37
QX-FRZ-727,2026-03-08,2026-03-08,9.04
QX-FRZ-727,2026-03-08,,8.19
QX-DRK-728,2024-09-19,2026-03-20,5.15
QX-DRK-728,2026-03-20,2026-03-20,5.32
QX-DRK-728,2026-03-20,,5.90
QX-HHD-729,2024-04-27,2025-08-06,6.62
QX-HHD-729,2025-08-06,2025-11-27,7.13
QX-HHD-729,2025-11-27,2025-11-27,7.70
QX-HHD-729,2025-11-27,2025-11-27,8.29
QX-HHD-729,2025-11-27,,7.45
QX-BAK-730,2024-12-22,2025-09-16,1.41
QX-BAK-730,2025-09-16,,1.51
QX-BWS-731,2024-02-12,2025-12-06,17.71
QX-BWS-731,2025-12-06,,21.54
QX-BAK-732,2025-04-03,2026-01-24,3.83
QX-BAK-732,2026-01-24,2026-01-24,4.12
QX-BAK-732,2026-01-24,2026-01-24,4.41
QX-BAK-732,2026-01-24,2026-01-24,4.75
QX-BAK-732,2026-01-24,,4.05
QX-HBC-733,2024-07-17,2025-08-28,2.13
QX-HBC-733,2025-08-28,2026-02-15,2.18
QX-HBC-733,2026-02-15,,2.58
QX-CER-734,2025-06-05,2025-12-09,2.82
QX-CER-734,2025-12-09,2026-03-05,2.88
QX-CER-734,2026-03-05,2026-03-05,3.10
QX-CER-734,2026-03-05,2026-03-05,3.17
QX-CER-734,2026-03-05,,3.02
QX-PRO-735,2024-08-04,2025-10-22,3.31
QX-PRO-735,2025-10-22,2026-03-14,3.42
QX-PRO-735,2026-03-14,2026-03-25,3.58
QX-PRO-735,2026-03-25,,3.97
QX-DRK-736,2023-11-24,2026-01-05,5.76
QX-DRK-736,2026-01-05,,6.06
QX-DRK-737,2025-01-07,2025-12-16,1.99
QX-DRK-737,2025-12-16,2025-12-16,2.04
QX-DRK-737,2025-12-16,2025-12-16,2.13
QX-DRK-737,2025-12-16,2025-12-16,2.24
QX-DRK-737,2025-12-16,,2.15
QX-FRZ-738,2025-04-12,2025-08-24,5.02
QX-FRZ-738,2025-08-24,2026-01-01,5.42
QX-FRZ-738,2026-01-01,,5.42
QX-CHL-739,2025-04-20,2025-07-02,3.20
QX-CHL-739,2025-07-02,2025-10-11,3.25
QX-CHL-739,2025-10-11,2026-02-24,3.41
QX-CHL-739,2026-02-24,2026-02-24,3.65
QX-CHL-739,2026-02-24,2026-02-24,3.93
QX-CHL-739,2026-02-24,2026-02-24,4.17
QX-CHL-739,2026-02-24,,3.40
QX-CHL-740,2024-08-16,2025-06-27,5.29
QX-CHL-740,2025-06-27,2026-02-16,5.41
QX-CHL-740,2026-02-16,2026-02-16,5.72
QX-CHL-740,2026-02-16,,6.06
QX-HHD-741,2024-02-13,2025-08-02,9.66
QX-HHD-741,2025-08-02,2026-02-17,9.94
QX-HHD-741,2026-02-17,2026-02-17,10.72
QX-HHD-741,2026-02-17,2026-02-17,11.51
QX-HHD-741,2026-02-17,,10.58
QX-CHL-742,2023-12-19,2025-10-29,14.12
QX-CHL-742,2025-10-29,,16.56
QX-BWS-743,2024-10-19,2025-10-27,32.51
QX-BWS-743,2025-10-27,2026-02-20,34.91
QX-BWS-743,2026-02-20,2026-02-20,35.79
QX-BWS-743,2026-02-20,2026-03-10,36.63
QX-BWS-743,2026-03-10,2026-03-15,39.67
QX-BWS-743,2026-03-15,2026-03-15,42.65
QX-BWS-743,2026-03-15,,37.92
QX-PRO-744,2024-03-11,2025-10-20,2.27
QX-PRO-744,2025-10-20,2025-10-20,2.30
QX-PRO-744,2025-10-20,2025-10-27,2.43
QX-PRO-744,2025-10-27,2025-10-27,2.55
QX-PRO-744,2025-10-27,,2.57
QX-BAK-745,2024-02-05,2025-08-23,2.71
QX-BAK-745,2025-08-23,2025-10-15,2.85
QX-BAK-745,2025-10-15,2025-10-15,2.93
QX-BAK-745,2025-10-15,,2.92
QX-CHL-746,2024-01-31,2025-08-20,3.43
QX-CHL-746,2025-08-20,2026-02-04,3.49
QX-CHL-746,2026-02-04,,3.69
QX-BWS-747,2024-06-10,2026-03-31,21.98
QX-BWS-747,2026-03-31,,25.44
QX-BWS-748,2025-02-06,2025-10-07,23.64
QX-BWS-748,2025-10-07,2025-11-25,24.94
QX-BWS-748,2025-11-25,2025-11-25,26.11
QX-BWS-748,2025-11-25,2025-11-25,28.24
QX-BWS-748,2025-11-25,2025-11-25,28.80
QX-BWS-748,2025-11-25,2025-11-25,29.74
QX-BWS-748,2025-11-25,,26.24
QX-FRZ-749,2024-03-06,2026-01-05,5.55
QX-FRZ-749,2026-01-05,2026-01-05,5.95
QX-FRZ-749,2026-01-05,2026-01-05,6.19
QX-FRZ-749,2026-01-05,2026-01-05,6.26
QX-FRZ-749,2026-01-05,2026-03-13,6.54
QX-FRZ-749,2026-03-13,2026-03-13,7.07
QX-FRZ-749,2026-03-13,,6.28
QX-CER-750,2023-10-29,2025-10-27,2.77
QX-CER-750,2025-10-27,2026-01-23,2.93
QX-CER-750,2026-01-23,2026-02-07,3.02
QX-CER-750,2026-02-07,2026-02-07,3.26
QX-CER-750,2026-02-07,2026-02-07,3.41
QX-CER-750,2026-02-07,,3.18
QX-DRY-751,2024-11-09,2025-09-10,3.55
QX-DRY-751,2025-09-10,,4.29
QX-CHL-752,2024-11-13,2025-12-02,5.80
QX-CHL-752,2025-12-02,2026-02-26,5.87
QX-CHL-752,2026-02-26,2026-03-14,6.26
QX-CHL-752,2026-03-14,2026-03-14,6.53
QX-CHL-752,2026-03-14,,6.49
QX-BWS-753,2024-11-05,2025-08-13,6.47
QX-BWS-753,2025-08-13,2025-12-18,6.62
QX-BWS-753,2025-12-18,2026-01-03,7.17
QX-BWS-753,2026-01-03,2026-01-03,7.48
QX-BWS-753,2026-01-03,2026-02-27,7.92
QX-BWS-753,2026-02-27,,7.08
QX-PRO-754,2025-03-18,2025-07-03,1.68
QX-PRO-754,2025-07-03,2025-12-31,1.83
QX-PRO-754,2025-12-31,2026-02-18,1.88
QX-PRO-754,2026-02-18,,2.01
QX-DRK-755,2024-09-17,2026-01-13,4.47
QX-DRK-755,2026-01-13,2026-01-17,4.76
QX-DRK-755,2026-01-17,2026-01-17,5.13
QX-DRK-755,2026-01-17,2026-01-17,5.20
QX-DRK-755,2026-01-17,,5.31
QX-CHL-756,2024-11-12,2026-03-24,5.64
QX-CHL-756,2026-03-24,2026-03-24,5.92
QX-CHL-756,2026-03-24,2026-03-24,6.32
QX-CHL-756,2026-03-24,2026-03-24,6.78
QX-CHL-756,2026-03-24,2026-03-24,7.27
QX-CHL-756,2026-03-24,,5.97
QX-HHD-757,2023-11-11,2026-02-15,10.10
QX-HHD-757,2026-02-15,2026-02-15,10.95
QX-HHD-757,2026-02-15,2026-02-15,11.36
QX-HHD-757,2026-02-15,2026-02-24,11.99
QX-HHD-757,2026-02-24,2026-02-24,12.35
QX-HHD-757,2026-02-24,2026-02-24,12.89
QX-HHD-757,2026-02-24,,11.66
QX-BWS-758,2024-09-26,2025-07-25,29.69
QX-BWS-758,2025-07-25,2026-02-13,31.88
QX-BWS-758,2026-02-13,2026-02-13,33.10
QX-BWS-758,2026-02-13,2026-02-13,35.22
QX-BWS-758,2026-02-13,2026-02-13,36.38
QX-BWS-758,2026-02-13,,36.12
QX-HHD-759,2024-12-27,2025-08-03,2.52
QX-HHD-759,2025-08-03,2026-03-22,2.70
QX-HHD-759,2026-03-22,2026-03-22,2.73
QX-HHD-759,2026-03-22,,3.00
QX-DRY-760,2024-03-14,2025-10-28,1.55
QX-DRY-760,2025-10-28,2026-03-10,1.61
QX-DRY-760,2026-03-10,2026-03-10,1.69
QX-DRY-760,2026-03-10,,1.80
QX-TIN-761,2024-10-14,2025-07-28,0.43
QX-TIN-761,2025-07-28,2025-11-24,0.45
QX-TIN-761,2025-11-24,2026-02-23,0.48
QX-TIN-761,2026-02-23,2026-02-23,0.48
QX-TIN-761,2026-02-23,2026-02-23,0.51
QX-TIN-761,2026-02-23,,0.51
QX-DRY-762,2024-01-30,2025-11-29,2.41
QX-DRY-762,2025-11-29,2025-11-29,2.51
QX-DRY-762,2025-11-29,2025-11-29,2.59
QX-DRY-762,2025-11-29,2025-11-29,2.69
QX-DRY-762,2025-11-29,2026-03-10,2.91
QX-DRY-762,2026-03-10,,2.53
QX-CER-763,2024-11-09,2025-12-11,1.40
QX-CER-763,2025-12-11,2025-12-11,1.48
QX-CER-763,2025-12-11,,1.66
QX-FRZ-764,2024-03-02,2026-01-28,6.50
QX-FRZ-764,2026-01-28,2026-01-28,6.77
QX-FRZ-764,2026-01-28,2026-02-03,7.03
QX-FRZ-764,2026-02-03,2026-02-03,7.22
QX-FRZ-764,2026-02-03,,6.83
QX-BWS-765,2024-06-13,2025-11-29,7.18
QX-BWS-765,2025-11-29,2025-11-29,7.60
QX-BWS-765,2025-11-29,2026-03-09,7.92
QX-BWS-765,2026-03-09,2026-03-09,8.36
QX-BWS-765,2026-03-09,2026-03-09,8.58
QX-BWS-765,2026-03-09,2026-03-09,9.31
QX-BWS-765,2026-03-09,,7.77
QX-PRO-766,2025-01-17,2026-02-23,4.30
QX-PRO-766,2026-02-23,2026-02-23,4.50
QX-PRO-766,2026-02-23,2026-02-23,4.58
QX-PRO-766,2026-02-23,2026-02-23,4.82
QX-PRO-766,2026-02-23,2026-02-23,4.99
QX-PRO-766,2026-02-23,,4.48
QX-BAK-767,2024-05-01,2026-02-28,3.27
QX-BAK-767,2026-02-28,,3.96
QX-BAK-768,2024-11-16,2025-11-07,4.32
QX-BAK-768,2025-11-07,2026-03-22,4.43
QX-BAK-768,2026-03-22,2026-03-22,4.82
QX-BAK-768,2026-03-22,2026-03-30,4.87
QX-BAK-768,2026-03-30,2026-03-30,5.24
QX-BAK-768,2026-03-30,,4.59
QX-PET-769,2024-01-07,2026-01-22,6.64
QX-PET-769,2026-01-22,2026-01-22,7.05
QX-PET-769,2026-01-22,,7.80
QX-CER-770,2024-05-24,2025-09-28,2.24
QX-CER-770,2025-09-28,2026-01-29,2.35
QX-CER-770,2026-01-29,2026-02-01,2.46
QX-CER-770,2026-02-01,2026-02-01,2.63
QX-CER-770,2026-02-01,,2.38
QX-BWS-771,2024-05-30,2025-12-17,21.70
QX-BWS-771,2025-12-17,,24.11
QX-HBC-772,2024-07-30,2026-01-20,5.10
QX-HBC-772,2026-01-20,2026-01-20,5.40
QX-HBC-772,2026-01-20,2026-01-20,5.85
QX-HBC-772,2026-01-20,2026-01-20,5.99
QX-HBC-772,2026-01-20,,6.13
QX-CER-773,2024-10-03,2026-02-25,2.45
QX-CER-773,2026-02-25,2026-02-25,2.49
QX-CER-773,2026-02-25,2026-02-25,2.54
QX-CER-773,2026-02-25,2026-02-25,2.76
QX-CER-773,2026-02-25,,2.76
QX-CER-774,2025-05-07,2025-10-15,2.08
QX-CER-774,2025-10-15,2025-10-15,2.22
QX-CER-774,2025-10-15,2025-10-15,2.28
QX-CER-774,2025-10-15,2026-02-05,2.48
QX-CER-774,2026-02-05,2026-02-05,2.60
QX-CER-774,2026-02-05,2026-03-15,2.70
QX-CER-774,2026-03-15,,2.35
QX-CHL-775,2025-03-29,2025-08-13,4.13
QX-CHL-775,2025-08-13,,4.95
QX-HHD-776,2024-12-10,2025-08-29,1.64
QX-HHD-776,2025-08-29,,1.73
QX-CHL-777,2024-05-04,2026-03-05,14.42
QX-CHL-777,2026-03-05,,17.19
QX-PRO-778,2025-04-13,2026-03-07,3.25
QX-PRO-778,2026-03-07,2026-03-22,3.41
QX-PRO-778,2026-03-22,2026-03-26,3.54
QX-PRO-778,2026-03-26,2026-03-26,3.59
QX-PRO-778,2026-03-26,,3.42
QX-HBC-779,2024-08-26,2026-03-27,5.02
QX-HBC-779,2026-03-27,2026-03-27,5.16
QX-HBC-779,2026-03-27,2026-03-27,5.37
QX-HBC-779,2026-03-27,2026-03-27,5.80
QX-HBC-779,2026-03-27,2026-03-27,6.13
QX-HBC-779,2026-03-27,,5.44
QX-PET-780,2024-12-19,2025-10-16,3.11
QX-PET-780,2025-10-16,,3.28
QX-DRY-781,2024-12-20,2025-07-01,1.91
QX-DRY-781,2025-07-01,2025-12-24,1.95
QX-DRY-781,2025-12-24,2025-12-24,2.09
QX-DRY-781,2025-12-24,2026-03-29,2.25
QX-DRY-781,2026-03-29,,2.29
QX-PRO-782,2025-05-14,2025-10-15,3.11
QX-PRO-782,2025-10-15,2025-12-07,3.27
QX-PRO-782,2025-12-07,2026-02-14,3.55
QX-PRO-782,2026-02-14,2026-02-14,3.66
QX-PRO-782,2026-02-14,,3.59
QX-PET-783,2024-09-10,2025-11-28,4.15
QX-PET-783,2025-11-28,2026-01-23,4.36
QX-PET-783,2026-01-23,2026-01-23,4.61
QX-PET-783,2026-01-23,2026-01-23,4.72
QX-PET-783,2026-01-23,2026-01-23,5.11
QX-PET-783,2026-01-23,2026-01-23,5.26
QX-PET-783,2026-01-23,,5.00
QX-CER-784,2023-10-17,2025-08-12,2.05
QX-CER-784,2025-08-12,2025-11-14,2.08
QX-CER-784,2025-11-14,2025-11-14,2.24
QX-CER-784,2025-11-14,2025-11-14,2.27
QX-CER-784,2025-11-14,2025-12-09,2.42
QX-CER-784,2025-12-09,2025-12-09,2.58
QX-CER-784,2025-12-09,,2.41
QX-CHL-785,2025-05-14,2025-12-10,4.29
QX-CHL-785,2025-12-10,2026-03-29,4.57
QX-CHL-785,2026-03-29,2026-03-29,4.83
QX-CHL-785,2026-03-29,2026-03-29,4.98
QX-CHL-785,2026-03-29,2026-03-29,5.06
QX-CHL-785,2026-03-29,2026-03-29,5.16
QX-CHL-785,2026-03-29,,4.63
QX-HBC-786,2024-09-28,2025-11-18,10.69
QX-HBC-786,2025-11-18,2025-11-18,11.42
QX-HBC-786,2025-11-18,2026-02-20,11.98
QX-HBC-786,2026-02-20,,12.20
QX-BAK-787,2024-03-26,2025-09-12,3.42
QX-BAK-787,2025-09-12,2025-09-12,3.50
QX-BAK-787,2025-09-12,2025-10-19,3.75
QX-BAK-787,2025-10-19,,3.96
QX-HHD-788,2024-09-16,2026-03-27,5.38
QX-HHD-788,2026-03-27,2026-03-27,5.72
QX-HHD-788,2026-03-27,2026-03-27,5.90
QX-HHD-788,2026-03-27,,5.91
QX-DRK-789,2024-12-16,2025-10-05,0.79
QX-DRK-789,2025-10-05,2025-10-05,0.82
QX-DRK-789,2025-10-05,2025-10-05,0.85
QX-DRK-789,2025-10-05,2026-01-17,0.88
QX-DRK-789,2026-01-17,,0.90
QX-HHD-790,2024-10-22,2025-09-11,4.19
QX-HHD-790,2025-09-11,2025-10-04,4.29
QX-HHD-790,2025-10-04,2025-10-04,4.36
QX-HHD-790,2025-10-04,2026-01-03,4.67
QX-HHD-790,2026-01-03,2026-03-06,4.78
QX-HHD-790,2026-03-06,,4.75
QX-HBC-791,2025-04-04,2025-12-18,3.99
QX-HBC-791,2025-12-18,,4.67
QX-FRZ-792,2024-02-24,2025-09-17,7.61
QX-FRZ-792,2025-09-17,2026-01-10,8.04
QX-FRZ-792,2026-01-10,2026-01-10,8.28
QX-FRZ-792,2026-01-10,2026-01-10,8.70
QX-FRZ-792,2026-01-10,,8.27
QX-CER-793,2024-02-19,2025-11-24,3.92
QX-CER-793,2025-11-24,2025-11-24,4.16
QX-CER-793,2025-11-24,2025-11-24,4.34
QX-CER-793,2025-11-24,2025-11-24,4.71
QX-CER-793,2025-11-24,2025-11-24,4.87
QX-CER-793,2025-11-24,,4.56
QX-DRK-794,2023-11-15,2025-07-02,3.31
QX-DRK-794,2025-07-02,2025-07-24,3.55
QX-DRK-794,2025-07-24,2025-09-21,3.87
QX-DRK-794,2025-09-21,2025-12-06,3.93
QX-DRK-794,2025-12-06,2026-03-13,4.05
QX-DRK-794,2026-03-13,,3.89
QX-FRZ-795,2024-07-13,2025-08-12,4.57
QX-FRZ-795,2025-08-12,2025-11-27,4.79
QX-FRZ-795,2025-11-27,2026-03-25,4.86
QX-FRZ-795,2026-03-25,2026-03-25,4.98
QX-FRZ-795,2026-03-25,2026-03-25,5.41
QX-FRZ-795,2026-03-25,,5.41
QX-HBC-796,2024-06-29,2025-08-09,12.71
QX-HBC-796,2025-08-09,2025-11-28,13.83
QX-HBC-796,2025-11-28,2025-12-08,14.47
QX-HBC-796,2025-12-08,2025-12-08,15.20
QX-HBC-796,2025-12-08,,13.84
QX-DRK-797,2025-02-20,2025-10-08,2.94
QX-DRK-797,2025-10-08,2025-10-28,3.19
QX-DRK-797,2025-10-28,2025-10-28,3.42
QX-DRK-797,2025-10-28,,3.10
QX-HHD-798,2024-12-03,2025-11-30,10.46
QX-HHD-798,2025-11-30,2025-11-30,10.94
QX-HHD-798,2025-11-30,,11.49
QX-FRZ-799,2024-03-19,2026-01-04,1.88
QX-FRZ-799,2026-01-04,2026-01-04,1.95
QX-FRZ-799,2026-01-04,2026-01-22,2.05
QX-FRZ-799,2026-01-22,2026-01-22,2.16
QX-FRZ-799,2026-01-22,2026-01-22,2.32
QX-FRZ-799,2026-01-22,2026-01-25,2.35
QX-FRZ-799,2026-01-25,,1.96
QX-CHL-800,2024-02-15,2025-10-05,4.70
QX-CHL-800,2025-10-05,2026-02-10,4.95
QX-CHL-800,2026-02-10,,5.49
QX-PET-801,2024-07-28,2025-11-20,1.19
QX-PET-801,2025-11-20,2025-11-20,1.20
QX-PET-801,2025-11-20,2025-12-26,1.26
QX-PET-801,2025-12-26,2025-12-26,1.30
QX-PET-801,2025-12-26,2025-12-26,1.38
QX-PET-801,2025-12-26,,1.29
QX-BAK-802,2024-04-22,2025-10-13,6.41
QX-BAK-802,2025-10-13,2025-10-13,6.95
QX-BAK-802,2025-10-13,2026-02-22,7.51
QX-BAK-802,2026-02-22,2026-02-27,7.85
QX-BAK-802,2026-02-27,2026-02-27,7.95
QX-BAK-802,2026-02-27,2026-02-27,8.25
QX-BAK-802,2026-02-27,,7.70
QX-TIN-803,2024-07-08,2025-09-11,0.77
QX-TIN-803,2025-09-11,,0.94
QX-HBC-804,2023-12-24,2025-12-20,6.45
QX-HBC-804,2025-12-20,2026-01-04,6.78
QX-HBC-804,2026-01-04,2026-01-04,7.32
QX-HBC-804,2026-01-04,,7.01
QX-PET-805,2024-11-04,2025-11-01,7.79
QX-PET-805,2025-11-01,2025-11-01,8.46
QX-PET-805,2025-11-01,2025-12-29,9.00
QX-PET-805,2025-12-29,,8.74
QX-FRZ-806,2024-04-04,2025-12-02,3.49
QX-FRZ-806,2025-12-02,,4.09
QX-DRK-807,2023-12-29,2025-06-26,2.60
QX-DRK-807,2025-06-26,2025-07-16,2.77
QX-DRK-807,2025-07-16,2026-02-09,2.97
QX-DRK-807,2026-02-09,,2.91
QX-CHL-808,2024-10-05,2025-08-31,3.44
QX-CHL-808,2025-08-31,2025-10-22,3.62
QX-CHL-808,2025-10-22,2026-01-25,3.74
QX-CHL-808,2026-01-25,2026-01-25,3.92
QX-CHL-808,2026-01-25,2026-01-25,4.19
QX-CHL-808,2026-01-25,2026-01-25,4.44
QX-CHL-808,2026-01-25,,3.89
QX-FRZ-809,2025-04-12,2025-12-15,2.13
QX-FRZ-809,2025-12-15,,2.55
QX-DRK-810,2024-09-29,2026-01-19,4.62
QX-DRK-810,2026-01-19,2026-03-15,4.93
QX-DRK-810,2026-03-15,2026-03-15,5.22
QX-DRK-810,2026-03-15,2026-03-15,5.67
QX-DRK-810,2026-03-15,2026-03-24,5.76
QX-DRK-810,2026-03-24,,5.42
QX-DRY-811,2024-02-17,2025-09-16,2.89
QX-DRY-811,2025-09-16,2025-09-28,3.05
QX-DRY-811,2025-09-28,2026-01-03,3.20
QX-DRY-811,2026-01-03,2026-01-03,3.26
QX-DRY-811,2026-01-03,,3.29
QX-CER-812,2023-11-23,2025-10-22,2.65
QX-CER-812,2025-10-22,2025-10-22,2.85
QX-CER-812,2025-10-22,2026-03-14,3.06
QX-CER-812,2026-03-14,,2.78
QX-HHD-813,2024-09-17,2025-12-11,5.40
QX-HHD-813,2025-12-11,2026-03-25,5.70
QX-HHD-813,2026-03-25,2026-03-25,6.20
QX-HHD-813,2026-03-25,,6.00
QX-HHD-814,2024-11-19,2025-12-22,7.01
QX-HHD-814,2025-12-22,2025-12-22,7.21
QX-HHD-814,2025-12-22,2026-03-03,7.40
QX-HHD-814,2026-03-03,,8.11
QX-DRK-815,2025-02-18,2025-09-24,3.22
QX-DRK-815,2025-09-24,2026-01-21,3.46
QX-DRK-815,2026-01-21,2026-01-21,3.56
QX-DRK-815,2026-01-21,2026-01-21,3.61
QX-DRK-815,2026-01-21,,3.57
QX-BWS-816,2024-01-29,2025-09-08,18.50
QX-BWS-816,2025-09-08,2025-12-23,19.66
QX-BWS-816,2025-12-23,,19.86
QX-PRO-817,2024-12-02,2025-07-30,1.17
QX-PRO-817,2025-07-30,,1.23
QX-CER-818,2024-12-17,2026-01-19,3.74
QX-CER-818,2026-01-19,2026-01-19,3.80
QX-CER-818,2026-01-19,2026-01-19,3.95
QX-CER-818,2026-01-19,,3.90
QX-TIN-819,2024-03-01,2026-01-19,1.17
QX-TIN-819,2026-01-19,2026-01-19,1.24
QX-TIN-819,2026-01-19,2026-01-19,1.27
QX-TIN-819,2026-01-19,,1.24
QX-HHD-820,2025-02-10,2026-01-25,4.28
QX-HHD-820,2026-01-25,2026-02-19,4.54
QX-HHD-820,2026-02-19,,4.50
QX-CER-821,2024-11-29,2025-07-30,4.13
QX-CER-821,2025-07-30,2026-01-18,4.49
QX-CER-821,2026-01-18,,4.71
QX-PRO-822,2023-12-22,2025-12-22,2.22
QX-PRO-822,2025-12-22,2025-12-22,2.41
QX-PRO-822,2025-12-22,,2.57
QX-BAK-823,2025-03-16,2025-09-17,7.82
QX-BAK-823,2025-09-17,,8.54
QX-BWS-824,2024-06-19,2026-03-07,30.33
QX-BWS-824,2026-03-07,2026-03-07,31.26
QX-BWS-824,2026-03-07,2026-03-07,32.51
QX-BWS-824,2026-03-07,,35.20
QX-BWS-825,2025-01-18,2025-08-13,18.30
QX-BWS-825,2025-08-13,2025-11-30,19.94
QX-BWS-825,2025-11-30,,19.51
