shipment_id,line_no,sku,ordered_units,received_units
SHP-000026,36,QX-FRZ-633,70,70
SHP-000026,37,QX-CHL-413,116,116
SHP-000026,38,QX-HHD-551,7,7
SHP-000027,1,QX-CER-228,43,43
SHP-000027,2,QX-BWS-785,22,22
SHP-000027,3,QX-BAK-599,72,72
SHP-000027,4,QX-DRY-154,19,19
SHP-000027,5,QX-FRZ-012,113,113
SHP-000027,6,QX-TIN-635,37,37
SHP-000027,7,QX-BWS-209,76,76
SHP-000027,8,QX-HHD-841,32,32
SHP-000027,9,QX-CER-285,49,49
SHP-000027,10,QX-BWS-668,35,35
SHP-000027,11,QX-DRY-549,62,62
SHP-000027,12,QX-BWS-343,117,117
SHP-000027,13,QX-DRY-535,78,78
SHP-000027,14,QX-PET-175,69,69
SHP-000027,15,QX-DRK-402,36,36
SHP-000027,16,QX-PET-510,69,69
SHP-000027,17,QX-BAK-487,96,96
SHP-000027,18,QX-BAK-769,119,119
SHP-000027,19,QX-BWS-138,78,78
SHP-000027,20,QX-CER-376,35,35
SHP-000027,21,QX-HHD-353,21,21
SHP-000027,22,QX-CER-518,52,52
SHP-000027,23,QX-BAK-964,52,52
SHP-000027,24,QX-FRZ-074,54,54
SHP-000027,25,QX-TIN-753,68,68
SHP-000027,26,QX-CER-245,43,43
SHP-000027,27,QX-DRY-083,22,22
SHP-000027,28,QX-HBC-655,39,39
SHP-000028,1,QX-DRY-154,116,116
SHP-000028,2,QX-PET-416,99,99
SHP-000028,3,QX-DRK-817,87,87
SHP-000028,4,QX-BAK-219,26,26
SHP-000028,5,QX-FRZ-030,10,10
SHP-000028,6,QX-FRZ-704,98,59
SHP-000028,7,QX-TIN-345,106,106
SHP-000028,8,QX-TIN-231,65,65
SHP-000028,9,QX-HHD-431,39,39
SHP-000028,10,QX-DRY-126,50,50
SHP-000028,11,QX-HHD-256,61,61
SHP-000028,12,QX-BAK-036,63,63
SHP-000028,13,QX-FRZ-593,50,50
SHP-000028,14,QX-CER-288,107,107
SHP-000028,15,QX-CHL-254,24,24
SHP-000028,16,QX-HBC-245,7,7
SHP-000028,17,QX-HHD-563,9,9
