sku,zone_id,elasticity,std_error,observations,r_squared,model_run_date
QX-CER-428,PZ-CORE,-2.207,0.084,9375,0.642,2026-03-04
QX-CER-428,PZ-VALUE,-0.933,0.882,33,0.024,2026-03-17
QX-CER-428,PZ-REMOTE,-2.304,0.077,3440,0.735,2026-03-21
QX-HBC-431,PZ-METRO,-3.129,0.045,5413,0.502,2026-03-27
QX-HBC-431,PZ-URBAN,-1.189,0.207,350,0.830,2026-03-15
QX-HBC-431,PZ-CORE,-0.784,0.135,2902,0.549,2026-02-21
QX-HBC-431,PZ-VALUE,-2.028,0.217,2732,0.874,2026-03-19
QX-HBC-431,PZ-REMOTE,-1.922,0.205,7680,0.762,2026-03-29
QX-FRZ-432,PZ-METRO,-1.047,1.156,24,0.100,2026-03-21
QX-FRZ-432,PZ-URBAN,-1.431,0.150,2721,0.491,2026-03-07
QX-FRZ-432,PZ-VALUE,-1.461,0.048,544,0.848,2026-03-05
QX-FRZ-432,PZ-REMOTE,-2.223,0.127,1530,0.756,2026-03-15
QX-BAK-434,PZ-METRO,-0.789,0.215,8589,0.449,2026-03-23
QX-BAK-434,PZ-CORE,-3.022,0.185,2407,0.810,2026-02-26
QX-BAK-434,PZ-VALUE,-2.517,0.119,8848,0.486,2026-03-16
QX-BAK-434,PZ-REMOTE,-0.950,0.198,6163,0.781,2026-03-11
QX-FRZ-435,PZ-METRO,-1.566,1.763,30,0.029,2026-03-23
QX-FRZ-435,PZ-CORE,-0.932,1.478,32,0.020,2026-03-20
QX-FRZ-435,PZ-VALUE,-2.551,0.122,7933,0.470,2026-03-02
QX-FRZ-435,PZ-REMOTE,-1.499,0.199,6887,0.798,2026-03-20
QX-CHL-438,PZ-URBAN,-1.034,1.891,21,0.103,2026-03-29
QX-CHL-438,PZ-VALUE,-1.355,0.117,5757,0.450,2026-03-01
QX-CHL-438,PZ-REMOTE,-2.380,0.118,5604,0.778,2026-03-20
QX-PET-447,PZ-METRO,-1.509,0.119,7335,0.816,2026-03-26
QX-PET-447,PZ-URBAN,-0.699,0.083,3652,0.778,2026-03-20
QX-PET-447,PZ-CORE,-1.669,0.205,3675,0.842,2026-02-24
QX-PET-447,PZ-REMOTE,-2.156,2.376,10,0.065,2026-03-07
QX-CER-448,PZ-METRO,-2.222,0.121,7191,0.530,2026-02-26
QX-CER-448,PZ-URBAN,-2.935,0.083,7718,0.831,2026-03-04
QX-CER-448,PZ-CORE,-3.080,0.220,3126,0.654,2026-03-19
QX-CER-448,PZ-VALUE,-1.775,0.199,7778,0.645,2026-03-24
QX-CER-448,PZ-REMOTE,-1.367,1.457,22,0.074,2026-03-26
QX-HBC-449,PZ-METRO,-1.155,0.195,1312,0.461,2026-03-22
QX-HBC-449,PZ-URBAN,-1.356,0.073,6564,0.450,2026-03-29
QX-HBC-449,PZ-REMOTE,-0.763,0.080,1831,0.783,2026-03-05
QX-PET-450,PZ-METRO,-1.924,0.127,7929,0.492,2026-02-21
QX-PET-450,PZ-VALUE,-2.710,0.146,4113,0.709,2026-03-10
QX-PET-450,PZ-REMOTE,-2.306,0.045,456,0.819,2026-03-15
QX-HBC-455,PZ-METRO,-0.434,0.063,8709,0.774,2026-03-20
QX-HBC-455,PZ-URBAN,-3.163,0.057,1958,0.560,2026-02-26
QX-HBC-455,PZ-CORE,-2.376,0.064,2285,0.609,2026-03-06
QX-HBC-455,PZ-VALUE,-2.449,0.079,2278,0.868,2026-03-25
QX-HBC-455,PZ-REMOTE,-2.576,0.194,8201,0.581,2026-03-16
QX-DRK-461,PZ-METRO,-1.598,0.192,6298,0.636,2026-03-16
QX-DRK-461,PZ-URBAN,-2.839,0.135,3109,0.748,2026-03-21
QX-DRK-461,PZ-CORE,-2.251,0.213,5463,0.758,2026-03-06
QX-DRK-461,PZ-VALUE,-0.839,0.198,5952,0.555,2026-02-22
QX-PRO-462,PZ-URBAN,-2.362,0.103,6252,0.821,2026-03-09
QX-PRO-462,PZ-CORE,-0.891,0.134,6127,0.692,2026-03-19
QX-PRO-462,PZ-VALUE,-2.211,0.069,1731,0.564,2026-03-09
QX-PRO-462,PZ-REMOTE,-3.167,0.145,526,0.641,2026-03-14
QX-CER-464,PZ-METRO,-2.681,0.192,8600,0.698,2026-03-26
QX-CER-464,PZ-URBAN,-2.459,0.073,3674,0.455,2026-03-05
QX-CER-464,PZ-CORE,-1.824,0.209,7443,0.554,2026-03-19
QX-CER-464,PZ-VALUE,-2.417,0.044,8199,0.770,2026-02-27
QX-FRZ-468,PZ-METRO,-1.358,0.105,8276,0.800,2026-02-22
QX-FRZ-468,PZ-URBAN,-2.905,0.075,4157,0.877,2026-03-08
QX-FRZ-468,PZ-CORE,-1.857,0.087,374,0.676,2026-03-09
QX-FRZ-468,PZ-VALUE,-1.739,0.114,6406,0.896,2026-02-27
QX-FRZ-468,PZ-REMOTE,-2.716,0.036,813,0.732,2026-02-28
QX-DRY-469,PZ-URBAN,-1.494,0.218,375,0.630,2026-03-29
QX-DRY-469,PZ-CORE,-1.287,0.154,8770,0.515,2026-02-23
QX-DRY-469,PZ-VALUE,-2.501,0.058,3484,0.681,2026-03-17
QX-DRY-469,PZ-REMOTE,-2.521,1.613,26,0.178,2026-03-14
QX-TIN-470,PZ-METRO,-2.822,0.205,3608,0.739,2026-03-04
QX-TIN-470,PZ-URBAN,-1.849,0.068,528,0.577,2026-03-09
QX-TIN-470,PZ-CORE,-2.376,0.064,689,0.840,2026-03-22
QX-TIN-470,PZ-VALUE,-1.091,0.062,9230,0.812,2026-03-22
QX-TIN-470,PZ-REMOTE,-2.738,0.135,4233,0.785,2026-03-11
QX-CER-473,PZ-METRO,-2.397,0.106,1634,0.655,2026-03-25
QX-CER-473,PZ-CORE,-0.655,0.089,2133,0.485,2026-03-27
QX-CER-473,PZ-VALUE,-2.995,0.051,9036,0.548,2026-03-01
QX-CER-473,PZ-REMOTE,-1.715,0.215,9164,0.807,2026-03-16
QX-BWS-474,PZ-METRO,-0.463,0.116,7038,0.845,2026-03-02
QX-BWS-474,PZ-URBAN,-0.944,0.041,6484,0.782,2026-03-10
QX-BWS-474,PZ-CORE,-3.097,0.076,9026,0.504,2026-03-29
QX-BWS-474,PZ-REMOTE,-1.948,0.208,7510,0.641,2026-03-18
QX-PRO-475,PZ-URBAN,-2.416,0.063,6645,0.562,2026-03-25
QX-PRO-475,PZ-CORE,-1.897,0.153,9025,0.466,2026-03-10
QX-PRO-475,PZ-VALUE,-2.067,0.031,6115,0.446,2026-03-23
QX-PRO-475,PZ-REMOTE,-1.604,0.176,8659,0.513,2026-03-12
QX-CHL-476,PZ-METRO,-0.953,0.103,5326,0.800,2026-02-25
QX-CHL-476,PZ-URBAN,-2.090,0.114,5836,0.834,2026-03-22
QX-CHL-476,PZ-CORE,-0.611,0.098,7626,0.804,2026-03-05
QX-CHL-476,PZ-VALUE,-0.896,1.673,24,0.095,2026-02-26
QX-CHL-476,PZ-REMOTE,-1.392,0.090,5545,0.490,2026-03-13
QX-TIN-486,PZ-URBAN,-0.767,0.153,6172,0.494,2026-03-12
QX-TIN-486,PZ-CORE,-2.141,0.051,2498,0.756,2026-03-17
QX-TIN-486,PZ-VALUE,-1.379,0.140,1358,0.534,2026-03-14
QX-BWS-489,PZ-METRO,-1.406,0.193,6604,0.743,2026-02-24
QX-BWS-489,PZ-URBAN,-1.256,0.163,925,0.900,2026-03-24
QX-BWS-489,PZ-VALUE,-1.290,0.063,6509,0.585,2026-03-11
QX-BWS-489,PZ-REMOTE,-1.135,0.035,6009,0.535,2026-03-02
QX-CHL-496,PZ-METRO,-0.813,0.179,2853,0.460,2026-03-09
QX-CHL-496,PZ-CORE,-1.716,2.021,39,0.053,2026-03-08
QX-CHL-496,PZ-VALUE,-3.058,0.173,6568,0.474,2026-03-06
QX-BWS-498,PZ-METRO,-2.948,0.165,8578,0.465,2026-03-28
QX-BWS-498,PZ-URBAN,-3.160,0.183,1426,0.553,2026-03-12
QX-BWS-498,PZ-CORE,-1.609,1.774,24,0.041,2026-03-24
QX-BWS-498,PZ-VALUE,-2.485,0.156,8290,0.841,2026-03-05
QX-BWS-498,PZ-REMOTE,-0.807,0.050,4478,0.633,2026-03-24
QX-PET-500,PZ-VALUE,-1.302,0.093,4632,0.451,2026-03-25
QX-PET-500,PZ-REMOTE,-2.013,0.152,8589,0.690,2026-02-23
QX-HHD-501,PZ-METRO,-1.609,2.001,21,0.058,2026-02-22
QX-HHD-501,PZ-CORE,-1.503,0.110,1174,0.581,2026-03-09
QX-HHD-501,PZ-VALUE,-0.531,0.151,6824,0.735,2026-02-26
QX-DRY-502,PZ-URBAN,-2.864,0.894,16,0.024,2026-03-11
QX-DRY-502,PZ-CORE,-2.417,0.089,5067,0.599,2026-03-15
QX-DRY-502,PZ-VALUE,-2.301,0.190,5336,0.684,2026-03-03
QX-BAK-510,PZ-METRO,-3.159,0.174,8174,0.737,2026-03-01
QX-BAK-510,PZ-URBAN,-0.451,0.210,3568,0.505,2026-03-19
QX-BAK-510,PZ-CORE,-1.783,0.161,7584,0.709,2026-02-23
QX-BAK-510,PZ-REMOTE,-1.148,0.071,7166,0.859,2026-02-21
QX-CER-511,PZ-METRO,-0.884,0.132,7459,0.513,2026-03-02
QX-CER-511,PZ-URBAN,-2.312,0.052,3217,0.723,2026-03-20
QX-CER-511,PZ-CORE,-1.429,0.084,2620,0.809,2026-02-28
QX-CER-511,PZ-VALUE,-2.123,0.134,2561,0.558,2026-02-25
QX-CER-511,PZ-REMOTE,-0.792,0.201,8009,0.651,2026-03-06
QX-BAK-512,PZ-METRO,-0.815,0.137,3774,0.738,2026-03-03
QX-BAK-512,PZ-URBAN,-2.690,0.177,7552,0.828,2026-02-21
QX-BAK-512,PZ-CORE,-0.558,0.190,6235,0.698,2026-03-20
QX-BAK-512,PZ-VALUE,-2.567,0.212,1603,0.511,2026-03-11
QX-BAK-512,PZ-REMOTE,-2.067,0.215,699,0.908,2026-02-26
QX-CER-513,PZ-METRO,-0.547,0.084,3275,0.542,2026-03-25
QX-CER-513,PZ-URBAN,-0.563,0.097,2928,0.485,2026-02-22
QX-CER-513,PZ-CORE,-1.438,0.107,4052,0.732,2026-03-25
QX-CER-513,PZ-VALUE,-3.181,0.131,6961,0.457,2026-03-04
QX-CER-513,PZ-REMOTE,-2.220,0.083,7677,0.687,2026-02-27
QX-DRK-514,PZ-METRO,-2.935,0.098,439,0.712,2026-02-21
QX-DRK-514,PZ-URBAN,-2.949,0.055,8166,0.673,2026-02-21
QX-DRK-514,PZ-CORE,-1.894,0.082,2048,0.461,2026-03-29
QX-DRK-514,PZ-REMOTE,-1.158,0.138,9066,0.486,2026-02-25
QX-DRY-517,PZ-METRO,-2.632,0.175,3657,0.874,2026-03-11
QX-DRY-517,PZ-CORE,-1.384,0.084,4351,0.804,2026-03-02
QX-DRY-517,PZ-VALUE,-2.419,0.219,4137,0.557,2026-03-26
QX-DRY-517,PZ-REMOTE,-1.909,0.187,785,0.488,2026-03-06
QX-DRY-528,PZ-URBAN,-2.601,0.191,8889,0.736,2026-03-24
QX-DRY-528,PZ-VALUE,-2.396,0.219,3031,0.738,2026-03-17
QX-DRY-528,PZ-REMOTE,-1.372,0.142,8480,0.755,2026-03-24
QX-DRY-529,PZ-URBAN,-2.090,0.056,2205,0.491,2026-03-12
QX-DRY-529,PZ-CORE,-3.037,0.099,2714,0.889,2026-03-09
QX-DRY-529,PZ-VALUE,-2.042,0.154,608,0.677,2026-02-22
QX-DRY-529,PZ-REMOTE,-1.778,0.168,6150,0.763,2026-02-26
QX-DRK-530,PZ-METRO,-2.008,0.844,13,0.127,2026-02-24
QX-DRK-530,PZ-URBAN,-2.130,0.071,5497,0.877,2026-03-15
QX-DRK-530,PZ-CORE,-1.857,0.064,6803,0.719,2026-03-16
QX-DRK-530,PZ-VALUE,-1.399,0.170,8758,0.910,2026-03-27
QX-TIN-531,PZ-METRO,-1.468,0.109,8655,0.565,2026-03-01
QX-TIN-531,PZ-URBAN,-1.318,0.062,5589,0.828,2026-03-07
QX-TIN-531,PZ-CORE,-1.400,0.103,3541,0.667,2026-02-27
QX-TIN-531,PZ-VALUE,-0.838,0.190,9285,0.600,2026-02-24
QX-TIN-531,PZ-REMOTE,-1.677,0.175,2986,0.458,2026-03-08
QX-PRO-532,PZ-METRO,-3.019,0.090,8312,0.812,2026-03-01
QX-PRO-532,PZ-URBAN,-1.289,0.039,2088,0.811,2026-02-24
QX-PRO-532,PZ-CORE,-2.911,0.219,8809,0.460,2026-03-04
QX-PRO-532,PZ-VALUE,-1.175,0.201,2306,0.457,2026-03-12
QX-HBC-544,PZ-METRO,-2.707,0.102,4092,0.537,2026-02-25
QX-HBC-544,PZ-URBAN,-3.161,0.163,4126,0.891,2026-02-27
QX-HBC-544,PZ-CORE,-3.116,0.158,2336,0.926,2026-03-11
QX-HBC-544,PZ-REMOTE,-2.397,0.096,5316,0.743,2026-03-05
QX-FRZ-547,PZ-METRO,-1.523,0.197,8365,0.709,2026-02-21
QX-FRZ-547,PZ-CORE,-0.504,0.111,6458,0.747,2026-03-12
QX-FRZ-547,PZ-VALUE,-2.558,0.168,7164,0.489,2026-03-07
QX-FRZ-547,PZ-REMOTE,-3.107,0.164,2499,0.720,2026-02-26
QX-DRK-548,PZ-METRO,-1.959,0.178,4436,0.720,2026-03-15
QX-DRK-548,PZ-URBAN,-1.238,0.157,9095,0.592,2026-03-24
QX-DRK-548,PZ-CORE,-0.833,1.359,20,0.123,2026-02-27
QX-DRK-548,PZ-VALUE,-1.383,0.086,6924,0.914,2026-03-16
QX-DRK-548,PZ-REMOTE,-0.489,0.107,7107,0.455,2026-03-11
QX-BWS-550,PZ-METRO,-1.232,0.093,1856,0.520,2026-02-23
QX-BWS-550,PZ-URBAN,-2.824,0.055,1000,0.476,2026-03-14
QX-BWS-550,PZ-CORE,-1.606,0.033,8060,0.484,2026-02-21
QX-BWS-550,PZ-VALUE,-3.185,0.108,3499,0.774,2026-03-29
QX-BWS-550,PZ-REMOTE,-3.198,0.170,5452,0.774,2026-03-22
QX-TIN-558,PZ-METRO,-3.005,1.551,25,0.102,2026-03-09
QX-TIN-558,PZ-URBAN,-1.047,0.053,8721,0.761,2026-03-20
QX-TIN-558,PZ-REMOTE,-1.938,0.136,2822,0.528,2026-02-24
QX-DRK-560,PZ-METRO,-2.454,0.169,8277,0.532,2026-03-05
QX-DRK-560,PZ-URBAN,-0.541,1.216,14,0.010,2026-03-05
QX-DRK-560,PZ-CORE,-2.219,0.148,1993,0.841,2026-03-16
QX-DRK-560,PZ-VALUE,-2.103,0.218,3322,0.906,2026-03-03
QX-DRK-560,PZ-REMOTE,-2.445,0.036,1719,0.522,2026-03-26
QX-FRZ-561,PZ-METRO,-2.273,0.119,7657,0.777,2026-03-17
QX-FRZ-561,PZ-CORE,-1.518,0.060,7770,0.635,2026-02-24
QX-FRZ-561,PZ-VALUE,-2.565,0.968,31,0.091,2026-03-26
QX-FRZ-561,PZ-REMOTE,-0.555,0.204,7067,0.556,2026-03-10
QX-DRK-563,PZ-CORE,-1.680,0.166,3010,0.711,2026-03-12
QX-DRK-563,PZ-REMOTE,-2.801,0.143,7184,0.557,2026-03-02
QX-DRY-565,PZ-METRO,-1.635,0.206,2540,0.855,2026-02-26
QX-DRY-565,PZ-URBAN,-1.321,0.094,1749,0.649,2026-03-19
QX-DRY-565,PZ-CORE,-1.612,0.085,6786,0.648,2026-03-14
QX-DRY-565,PZ-VALUE,-1.494,0.198,8939,0.825,2026-03-25
QX-TIN-566,PZ-METRO,-1.823,2.165,26,0.055,2026-03-27
QX-TIN-566,PZ-URBAN,-1.440,0.115,9110,0.583,2026-03-29
QX-TIN-566,PZ-CORE,-0.440,0.104,5930,0.638,2026-03-14
QX-TIN-566,PZ-REMOTE,-2.463,0.692,13,0.176,2026-03-12
QX-BAK-567,PZ-METRO,-1.114,1.351,14,0.053,2026-03-15
QX-BAK-567,PZ-URBAN,-0.899,0.058,1887,0.864,2026-03-29
QX-HBC-568,PZ-METRO,-1.714,0.217,8329,0.700,2026-03-02
QX-HBC-568,PZ-URBAN,-0.785,0.126,9375,0.475,2026-03-07
QX-HBC-568,PZ-VALUE,-2.704,0.035,5678,0.601,2026-03-24
QX-HBC-568,PZ-REMOTE,-1.888,1.002,16,0.121,2026-03-13
QX-CER-570,PZ-METRO,-1.320,0.130,2809,0.869,2026-02-21
QX-CER-570,PZ-URBAN,-2.315,0.185,523,0.804,2026-03-03
QX-CER-570,PZ-CORE,-2.601,0.106,6695,0.588,2026-03-19
QX-CER-570,PZ-VALUE,-1.980,0.051,1437,0.566,2026-02-21
QX-CER-570,PZ-REMOTE,-2.334,0.133,4814,0.850,2026-02-22
QX-DRY-571,PZ-METRO,-0.447,0.107,2576,0.890,2026-03-12
QX-DRY-571,PZ-URBAN,-2.816,0.176,9369,0.519,2026-03-03
QX-DRY-571,PZ-CORE,-2.336,0.191,2313,0.883,2026-03-05
QX-DRY-571,PZ-VALUE,-1.379,0.060,1988,0.551,2026-03-28
QX-DRY-571,PZ-REMOTE,-1.590,0.195,6887,0.693,2026-03-05
QX-PET-572,PZ-METRO,-1.100,1.807,36,0.045,2026-03-25
QX-PET-572,PZ-CORE,-1.122,1.352,18,0.114,2026-03-08
QX-PET-572,PZ-VALUE,-1.970,0.032,9018,0.504,2026-03-04
QX-DRY-574,PZ-CORE,-1.856,0.031,1614,0.478,2026-03-20
QX-DRY-574,PZ-VALUE,-2.523,0.130,7236,0.605,2026-03-17
QX-HBC-576,PZ-METRO,-0.462,0.034,3898,0.921,2026-03-12
QX-HBC-576,PZ-URBAN,-1.138,0.182,1075,0.845,2026-02-25
QX-HBC-576,PZ-CORE,-3.146,1.719,19,0.194,2026-03-06
QX-HBC-576,PZ-VALUE,-3.066,0.067,1937,0.845,2026-03-11
QX-HBC-576,PZ-REMOTE,-2.526,0.052,8346,0.790,2026-03-01
QX-BAK-582,PZ-METRO,-1.815,0.200,8254,0.727,2026-03-14
QX-BAK-582,PZ-CORE,-2.580,2.231,20,0.040,2026-03-13
QX-BAK-582,PZ-VALUE,-1.029,0.088,1415,0.710,2026-03-26
QX-BAK-582,PZ-REMOTE,-1.695,0.031,6679,0.584,2026-03-29
QX-BWS-584,PZ-URBAN,-3.121,1.879,31,0.170,2026-03-16
QX-BWS-584,PZ-CORE,-0.467,0.093,1399,0.721,2026-03-11
QX-BWS-584,PZ-VALUE,-2.707,0.115,1868,0.650,2026-03-04
QX-BWS-584,PZ-REMOTE,-3.020,0.153,751,0.725,2026-03-22
QX-FRZ-586,PZ-METRO,-2.125,0.134,6444,0.640,2026-03-06
QX-FRZ-586,PZ-URBAN,-1.848,0.089,1299,0.648,2026-03-29
QX-FRZ-586,PZ-CORE,-3.113,0.109,5386,0.568,2026-03-28
QX-FRZ-586,PZ-VALUE,-1.407,0.116,2345,0.528,2026-02-27
QX-FRZ-586,PZ-REMOTE,-2.218,0.088,7781,0.912,2026-02-27
QX-BAK-587,PZ-METRO,-1.936,1.654,27,0.115,2026-03-29
QX-BAK-587,PZ-CORE,-1.724,1.400,27,0.185,2026-03-19
QX-BAK-587,PZ-VALUE,-1.015,0.146,2198,0.831,2026-03-12
QX-BAK-587,PZ-REMOTE,-0.617,0.191,3127,0.603,2026-03-05
QX-CHL-588,PZ-METRO,-0.985,0.173,4222,0.501,2026-03-12
QX-CHL-588,PZ-URBAN,-1.980,0.118,1197,0.717,2026-03-13
QX-CHL-588,PZ-CORE,-2.124,0.187,422,0.623,2026-03-10
QX-CHL-588,PZ-REMOTE,-2.288,0.194,3127,0.699,2026-03-07
QX-BWS-589,PZ-METRO,-1.937,0.033,3024,0.802,2026-03-01
QX-BWS-589,PZ-URBAN,-0.535,0.166,7456,0.543,2026-03-17
QX-BWS-589,PZ-CORE,-3.026,0.113,3581,0.735,2026-03-15
QX-BWS-589,PZ-VALUE,-1.370,0.050,7584,0.849,2026-03-14
QX-BWS-589,PZ-REMOTE,-1.958,0.907,15,0.149,2026-03-04
QX-BAK-590,PZ-METRO,-3.183,2.176,28,0.166,2026-02-25
QX-BAK-590,PZ-URBAN,-1.047,0.164,8587,0.860,2026-02-27
QX-BAK-590,PZ-CORE,-2.592,2.256,30,0.078,2026-03-23
QX-BAK-590,PZ-VALUE,-2.413,0.075,8595,0.679,2026-03-24
QX-BAK-590,PZ-REMOTE,-2.475,0.927,37,0.020,2026-03-17
QX-FRZ-591,PZ-URBAN,-2.917,0.161,7256,0.835,2026-03-28
QX-FRZ-591,PZ-CORE,-1.359,0.166,5701,0.884,2026-02-25
QX-FRZ-591,PZ-VALUE,-1.951,0.156,5594,0.838,2026-03-23
QX-DRY-593,PZ-METRO,-1.870,0.130,4348,0.781,2026-03-11
QX-DRY-593,PZ-CORE,-2.688,0.191,5783,0.927,2026-03-05
QX-DRY-593,PZ-VALUE,-3.088,0.217,6317,0.523,2026-03-13
QX-DRY-593,PZ-REMOTE,-2.463,0.089,6236,0.563,2026-02-22
QX-HHD-594,PZ-METRO,-3.077,0.149,1696,0.564,2026-02-23
QX-HHD-594,PZ-URBAN,-1.190,0.171,1389,0.688,2026-02-24
QX-HHD-594,PZ-CORE,-2.092,1.618,33,0.165,2026-03-23
QX-HHD-594,PZ-VALUE,-2.151,0.073,7926,0.496,2026-03-15
QX-HHD-605,PZ-METRO,-2.867,0.067,2041,0.798,2026-03-15
QX-HHD-605,PZ-CORE,-0.828,0.209,3436,0.919,2026-02-23
QX-HHD-605,PZ-VALUE,-2.481,0.036,9031,0.793,2026-03-23
QX-HHD-605,PZ-REMOTE,-0.576,0.047,7821,0.581,2026-03-24
QX-HHD-606,PZ-METRO,-2.961,0.168,5784,0.605,2026-03-12
QX-HHD-606,PZ-CORE,-1.816,0.178,1113,0.617,2026-03-17
QX-HHD-606,PZ-VALUE,-2.527,1.614,39,0.032,2026-03-22
QX-HHD-606,PZ-REMOTE,-2.546,0.059,7618,0.816,2026-03-27
QX-BWS-607,PZ-METRO,-0.808,0.121,5658,0.550,2026-03-26
QX-BWS-607,PZ-URBAN,-2.371,0.099,1763,0.607,2026-03-07
QX-BWS-607,PZ-VALUE,-2.488,0.095,9393,0.673,2026-03-09
QX-BWS-607,PZ-REMOTE,-3.147,0.219,2059,0.823,2026-03-08
QX-BAK-608,PZ-METRO,-0.758,0.137,1934,0.821,2026-02-22
QX-BAK-608,PZ-CORE,-0.729,0.211,5641,0.647,2026-03-16
QX-BAK-608,PZ-VALUE,-0.537,0.188,4932,0.639,2026-03-26
QX-DRK-609,PZ-METRO,-1.344,0.106,6396,0.912,2026-03-22
QX-DRK-609,PZ-URBAN,-3.020,0.076,2360,0.559,2026-03-23
QX-DRK-609,PZ-CORE,-2.678,0.211,3633,0.561,2026-03-28
QX-DRK-609,PZ-REMOTE,-2.133,0.047,7766,0.727,2026-03-10
QX-DRY-610,PZ-METRO,-0.545,0.108,8447,0.844,2026-03-09
QX-DRY-610,PZ-URBAN,-1.984,0.124,7846,0.498,2026-03-02
QX-DRY-610,PZ-VALUE,-1.682,0.190,7465,0.730,2026-03-06
QX-HBC-613,PZ-METRO,-1.410,0.061,4327,0.765,2026-03-07
QX-BWS-614,PZ-METRO,-1.470,1.745,39,0.044,2026-03-14
QX-BWS-614,PZ-URBAN,-2.877,0.065,2534,0.783,2026-03-26
QX-BWS-614,PZ-CORE,-1.124,0.036,4946,0.723,2026-02-24
QX-BWS-614,PZ-VALUE,-2.157,0.191,9154,0.790,2026-03-05
QX-BWS-614,PZ-REMOTE,-3.104,1.121,23,0.193,2026-02-24
QX-PET-616,PZ-URBAN,-2.975,0.744,12,0.117,2026-02-24
QX-PET-616,PZ-CORE,-1.409,0.155,5990,0.446,2026-03-12
QX-PET-616,PZ-VALUE,-0.906,0.217,7667,0.719,2026-03-21
QX-PET-616,PZ-REMOTE,-3.007,0.219,1439,0.514,2026-03-11
QX-CHL-617,PZ-METRO,-2.777,0.166,2123,0.857,2026-03-04
QX-CHL-617,PZ-URBAN,-2.880,2.044,24,0.087,2026-03-13
QX-CHL-617,PZ-CORE,-2.975,0.057,544,0.776,2026-03-23
QX-CHL-617,PZ-REMOTE,-1.247,1.964,24,0.035,2026-03-18
QX-FRZ-622,PZ-METRO,-3.079,0.204,3513,0.775,2026-02-27
QX-FRZ-622,PZ-URBAN,-2.054,0.032,1615,0.729,2026-03-21
QX-FRZ-622,PZ-REMOTE,-0.941,0.184,5797,0.789,2026-02-21
QX-PRO-625,PZ-METRO,-2.781,0.215,1795,0.683,2026-03-17
QX-PRO-625,PZ-CORE,-0.911,0.206,3049,0.904,2026-03-03
QX-PRO-625,PZ-VALUE,-1.725,0.040,1493,0.853,2026-03-01
QX-PRO-625,PZ-REMOTE,-2.564,0.080,2813,0.755,2026-03-19
QX-DRK-627,PZ-METRO,-2.473,1.007,32,0.066,2026-03-28
QX-DRK-627,PZ-URBAN,-0.783,0.085,6510,0.610,2026-03-10
QX-DRK-627,PZ-CORE,-1.435,0.157,7015,0.832,2026-03-10
QX-DRK-627,PZ-VALUE,-2.791,0.116,515,0.802,2026-03-20
QX-DRK-627,PZ-REMOTE,-2.580,0.153,1430,0.758,2026-03-03
QX-BAK-630,PZ-METRO,-3.164,0.149,4259,0.472,2026-03-05
QX-BAK-630,PZ-CORE,-3.060,0.043,2267,0.584,2026-02-21
QX-BAK-630,PZ-VALUE,-1.713,0.077,2597,0.482,2026-03-07
QX-BAK-630,PZ-REMOTE,-2.853,0.109,4850,0.485,2026-03-21
QX-CHL-631,PZ-URBAN,-2.743,0.097,6944,0.893,2026-03-05
QX-CHL-631,PZ-VALUE,-2.778,0.069,3160,0.904,2026-03-10
QX-CHL-631,PZ-REMOTE,-1.773,0.217,4412,0.543,2026-03-24
QX-BWS-632,PZ-METRO,-2.626,0.111,9388,0.922,2026-03-15
QX-BWS-632,PZ-VALUE,-1.027,0.189,580,0.696,2026-03-18
QX-BWS-632,PZ-REMOTE,-0.974,1.475,30,0.144,2026-03-21
QX-BWS-634,PZ-METRO,-2.090,0.141,4264,0.779,2026-03-19
QX-BWS-634,PZ-URBAN,-3.078,0.125,8926,0.530,2026-03-26
QX-BWS-634,PZ-CORE,-2.100,0.082,4252,0.865,2026-03-21
QX-BWS-634,PZ-VALUE,-1.000,0.196,5504,0.597,2026-03-24
QX-DRY-635,PZ-METRO,-2.258,0.092,3840,0.692,2026-03-01
QX-DRY-635,PZ-URBAN,-2.031,0.083,1110,0.878,2026-03-15
QX-DRY-635,PZ-VALUE,-2.052,0.077,1852,0.617,2026-02-25
QX-DRY-635,PZ-REMOTE,-1.368,0.214,4078,0.918,2026-02-27
QX-BAK-638,PZ-METRO,-2.028,1.815,13,0.054,2026-03-04
QX-BAK-638,PZ-VALUE,-2.999,0.206,5514,0.740,2026-02-27
QX-BAK-638,PZ-REMOTE,-1.256,0.169,2507,0.867,2026-02-21
QX-CER-639,PZ-METRO,-1.797,0.106,6446,0.499,2026-03-13
QX-CER-639,PZ-CORE,-2.283,0.189,2394,0.880,2026-02-21
QX-CER-639,PZ-VALUE,-2.952,0.204,2828,0.443,2026-03-28
QX-CER-639,PZ-REMOTE,-2.076,0.092,3473,0.697,2026-02-22
QX-PRO-641,PZ-METRO,-3.127,0.206,8726,0.616,2026-03-18
QX-PRO-641,PZ-VALUE,-1.753,0.109,3782,0.857,2026-03-08
QX-PRO-641,PZ-REMOTE,-1.847,0.087,5288,0.840,2026-03-22
QX-CHL-643,PZ-METRO,-0.902,0.054,4619,0.609,2026-03-03
QX-CHL-643,PZ-URBAN,-2.372,0.114,6453,0.772,2026-03-03
QX-CHL-643,PZ-CORE,-2.429,0.109,5531,0.501,2026-03-20
QX-CHL-643,PZ-VALUE,-1.071,0.148,8718,0.539,2026-03-16
