markdown_id,branch_id,business_date,sku,original_price,marked_price,units_marked,units_sold,units_wasted
MD-0000337,B-04,2026-05-06,QX-FRZ-266,7.89,2.67,15,12,3
MD-0000338,B-02,2026-05-06,QX-CHL-685,6.34,1.71,11,7,4
MD-0000339,B-02,2026-05-06,QX-CHL-899,7.84,2.06,9,3,6
MD-0000340,B-01,2026-05-06,QX-FRZ-717,5.63,2.16,15,14,1
MD-0000341,B-01,2026-05-06,QX-FRZ-218,3.78,2.03,5,4,1
MD-0000342,B-01,2026-05-06,QX-FRZ-362,6.52,4.36,9,4,5
MD-0000343,B-01,2026-05-06,QX-CHL-250,7.68,2.24,21,8,13
MD-0000344,B-01,2026-05-06,QX-FRZ-631,5.88,1.66,11,11,0
MD-0000345,B-01,2026-05-06,QX-FRZ-334,7.45,3.58,11,7,4
MD-0000346,B-20,2026-05-06,QX-CHL-205,7.42,3.73,9,8,1
MD-0000347,B-20,2026-05-06,QX-FRZ-090,2.73,1.75,22,21,1
MD-0000348,B-20,2026-05-06,QX-PRO-606,1.12,0.73,7,3,4
MD-0000349,B-20,2026-05-06,QX-CHL-703,6.82,2.06,21,15,6
MD-0000350,B-20,2026-05-06,QX-FRZ-343,1.59,0.81,17,5,12
MD-0000351,B-20,2026-05-06,QX-FRZ-310,6.36,2.57,24,8,16
MD-0000352,B-20,2026-05-06,QX-CHL-579,21.52,14.12,14,8,6
MD-0000353,B-20,2026-05-06,QX-FRZ-444,6.64,4.05,21,17,4
MD-0000354,B-20,2026-05-06,QX-FRZ-784,6.27,4.15,6,4,2
MD-0000355,B-20,2026-05-06,QX-PRO-217,1.30,0.43,12,9,3
MD-0000356,B-20,2026-05-06,QX-FRZ-909,2.55,0.84,14,10,4
MD-0000357,B-21,2026-05-06,QX-PRO-462,2.24,0.93,9,6,3
MD-0000358,B-21,2026-05-06,QX-PRO-766,4.66,2.86,20,9,11
MD-0000359,B-21,2026-05-06,QX-PRO-203,3.10,1.38,9,4,5
MD-0000360,B-21,2026-05-06,QX-PRO-427,3.19,1.17,19,10,9
MD-0000361,B-21,2026-05-06,QX-PRO-866,4.44,2.35,13,8,5
MD-0000362,B-21,2026-05-06,QX-PRO-402,1.00,0.64,8,6,2
MD-0000363,B-21,2026-05-06,QX-CHL-365,17.38,9.24,24,8,16
MD-0000364,B-21,2026-05-06,QX-PRO-546,2.26,0.67,22,13,9
MD-0000365,B-21,2026-05-06,QX-CHL-417,20.69,10.48,25,20,5
MD-0000366,B-21,2026-05-06,QX-CHL-823,7.90,2.64,17,13,4
MD-0000367,B-21,2026-05-06,QX-PRO-441,5.72,1.57,4,3,1
MD-0000368,B-21,2026-05-06,QX-PRO-892,3.03,0.88,3,1,2
MD-0000369,B-21,2026-05-06,QX-FRZ-516,8.79,3.99,14,5,9
MD-0000370,B-21,2026-05-06,QX-CHL-777,17.88,6.56,7,5,2
MD-0000371,B-21,2026-05-06,QX-CHL-588,8.09,3.49,12,9,3
MD-0000372,B-21,2026-05-06,QX-FRZ-113,6.01,3.84,19,16,3
MD-0000373,B-22,2026-05-06,QX-FRZ-393,1.87,0.54,21,16,5
MD-0000374,B-22,2026-05-06,QX-PRO-548,3.63,1.44,1,1,0
MD-0000375,B-22,2026-05-06,QX-PRO-573,4.83,1.33,9,7,2
MD-0000376,B-22,2026-05-06,QX-FRZ-901,6.62,3.52,9,6,3
MD-0000377,B-22,2026-05-06,QX-PRO-255,2.64,1.82,15,6,9
MD-0000378,B-23,2026-05-06,QX-CHL-279,4.89,2.06,15,11,4
MD-0000379,B-23,2026-05-06,QX-PRO-202,1.47,0.51,17,17,0
MD-0000380,B-23,2026-05-06,QX-FRZ-839,8.45,3.15,9,3,6
MD-0000381,B-23,2026-05-06,QX-FRZ-591,4.41,1.74,26,24,2
MD-0000382,B-23,2026-05-06,QX-CHL-330,7.89,2.47,4,3,1
MD-0000383,B-23,2026-05-06,QX-CHL-899,6.88,4.49,13,4,9
MD-0000384,B-24,2026-05-06,QX-CHL-341,15.18,6.80,14,11,3
MD-0000385,B-24,2026-05-06,QX-PRO-919,5.02,2.67,10,6,4
MD-0000386,B-24,2026-05-06,QX-FRZ-847,6.28,4.23,3,1,2
MD-0000387,B-24,2026-05-06,QX-CHL-615,2.71,0.82,8,5,3
MD-0000388,B-24,2026-05-06,QX-CHL-701,2.76,1.55,3,2,1
MD-0000389,B-25,2026-05-06,QX-FRZ-933,6.62,4.53,2,2,0
MD-0000390,B-25,2026-05-06,QX-PRO-591,0.65,0.32,17,13,4
MD-0000391,B-25,2026-05-06,QX-CHL-773,5.52,1.39,19,17,2
MD-0000392,B-25,2026-05-06,QX-CHL-069,1.03,0.68,2,1,1
MD-0000393,B-25,2026-05-06,QX-FRZ-323,7.75,5.08,6,5,1
MD-0000394,B-25,2026-05-06,QX-CHL-775,4.65,1.17,18,11,7
MD-0000395,B-25,2026-05-06,QX-FRZ-334,7.45,3.81,5,4,1
MD-0000396,B-25,2026-05-06,QX-PRO-754,1.89,1.01,17,17,0
MD-0000397,B-25,2026-05-06,QX-CHL-753,8.82,5.49,10,5,5
MD-0000398,B-25,2026-05-06,QX-FRZ-562,1.87,1.15,5,4,1
MD-0000399,B-25,2026-05-06,QX-CHL-108,6.17,2.62,9,8,1
MD-0000400,B-25,2026-05-06,QX-PRO-919,4.72,2.05,4,2,2
MD-0000401,B-25,2026-05-06,QX-CHL-775,4.65,1.88,10,10,0
MD-0000402,B-25,2026-05-06,QX-FRZ-586,6.72,2.58,2,2,0
MD-0000403,B-26,2026-05-06,QX-FRZ-249,7.55,5.27,22,14,8
MD-0000404,B-26,2026-05-06,QX-CHL-746,4.02,1.70,12,8,4
MD-0000405,B-26,2026-05-06,QX-PRO-746,2.50,0.91,20,15,5
MD-0000406,B-26,2026-05-06,QX-CHL-049,11.03,3.53,18,9,9
MD-0000407,B-26,2026-05-06,QX-CHL-449,5.32,3.70,16,11,5
MD-0000408,B-27,2026-05-06,QX-CHL-117,17.57,8.79,2,1,1
MD-0000409,B-27,2026-05-06,QX-PRO-926,4.24,1.77,5,2,3
MD-0000410,B-27,2026-05-06,QX-FRZ-233,8.96,3.20,22,19,3
MD-0000411,B-28,2026-05-06,QX-CHL-110,1.04,0.36,4,2,2
MD-0000412,B-28,2026-05-06,QX-PRO-692,2.01,0.59,18,15,3
MD-0000413,B-28,2026-05-06,QX-PRO-866,4.44,1.32,8,8,0
MD-0000414,B-28,2026-05-06,QX-FRZ-321,2.08,1.44,6,2,4
MD-0000415,B-28,2026-05-06,QX-PRO-683,1.29,0.79,24,15,9
MD-0000416,B-28,2026-05-06,QX-CHL-615,2.82,1.11,20,13,7
MD-0000417,B-28,2026-05-06,QX-PRO-026,1.21,0.44,8,5,3
MD-0000418,B-28,2026-05-06,QX-FRZ-564,4.31,1.63,6,3,3
MD-0000419,B-28,2026-05-06,QX-CHL-746,3.84,2.24,9,6,3
MD-0000420,B-29,2026-05-06,QX-FRZ-997,2.72,1.62,2,2,0
MD-0000421,B-29,2026-05-06,QX-FRZ-591,4.59,1.88,23,23,0
MD-0000422,B-29,2026-05-06,QX-FRZ-850,6.55,3.55,7,6,1
MD-0000423,B-29,2026-05-06,QX-FRZ-977,6.30,2.14,22,14,8
MD-0000424,B-29,2026-05-06,QX-PRO-801,5.51,1.68,8,8,0
MD-0000425,B-29,2026-05-06,QX-PRO-421,3.67,1.51,4,2,2
MD-0000426,B-29,2026-05-06,QX-FRZ-403,3.87,2.65,15,8,7
MD-0000427,B-30,2026-05-06,QX-FRZ-202,5.22,2.96,22,21,1
MD-0000428,B-30,2026-05-06,QX-CHL-899,6.88,3.01,25,13,12
